"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"Legal Sources","602
001","12","1.167","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sociology of Law","641
001","9","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"Contracts I","711
001","69","1.275","7.2",".","26.1",".","10.1",".",".",".",".",".",".",".",".",".",".","."
"","723
002","20","0.950","5.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
003","20","1.450","10.0",".","35.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
006","20","1.650","5.0",".","45.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","723
007","19","1.368",".",".","42.1",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","014
723","18","0.778",".",".","22.2",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Legal Research and Writing","Course Total","97","1.247","4.1",".","34.0",".","3.1",".",".",".",".",".",".",".",".",".",".","."
"Constitutional Law II","740
002","57","1.170","1.8",".","29.8",".",".",".",".","17.5",".",".",".",".",".",".",".","."
"Bus Orgnztions II:Publ Corp","001
741","59","0.929","13.6",".","10.2",".","1.7",".",".","5.1",".",".",".",".",".",".",".","."
"Taxation I","001
742","56","1.200","8.9",".","17.9",".","8.9",".",".","10.7",".",".",".",".",".",".",".","."
"","743
002","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","743
003","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Negotiations","Course Total","25","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Consumer Health Advocacy","768
001","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Accounting and Law","811
001","17","",".",".",".",".",".",".",".","76.5",".",".",".",".",".",".",".","23.5"
"Appellate Advocacy II","815
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","849
001","14","",".",".",".",".",".",".",".","92.9",".",".",".",".",".",".",".","7.1"
"","849
002","16","",".",".",".",".",".",".",".","75.0",".",".",".",".",".",".",".","25.0"
"","849
003","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Pre-Trial Advocacy","Course Total","46","",".",".",".",".",".",".",".","89.1",".",".",".",".",".",".",".","10.9"
"Professnl Responsibilities","850
002","57","1.000","10.5",".","17.5",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"Trial Advocacy","852
001","11","",".",".",".",".",".",".",".","81.8",".",".",".",".",".",".",".","18.2"
"","854
001","25","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
004","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
008","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","010
854","21","",".",".",".",".",".",".",".","85.7",".",".",".",".",".",".",".","14.3"
"","854
011","35","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
012","28","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
018","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
019","6","",".",".",".",".",".",".",".","83.3",".",".",".",".",".",".",".","16.7"
"Clinical Program","Course Total","137","",".",".",".",".",".",".",".","96.4",".",".",".",".",".",".",".","3.6"
"Law Review","899
001","82","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Probs-Criminal Justice Adm","001
915","27","1.593","14.8",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","928
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","928
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Problems- Land Law Seminar","Course Total","5","***","","","","","","","","","","","","","","","",""
"","940
003","15","1.733","13.3",".","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","007
940","7","",".",".",".",".",".",".",".","85.7",".",".",".",".",".",".",".","14.3"
"January 05, 2022","","","","","","","","","","","","","","","","","","Page 366 of 464",""
