"","991
096","6","",".",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".","."
"","991
097","6","",".",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".","."
"","991
098","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Nutrition","Course Total","41","",".",".",".",".",".",".",".","41.5",".",".",".","12.2","43.9",".","2.4","."
"NUTR SCI
694","Dept. Total","1369","3.669","63.6","12.9","9.3","2.9","2.4","0.1","0.9","3.3",".","1.8",".","0.4","2.1",".","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","",""
"Freshmen","","295","3.600","63.1","16.9","9.2","5.4","3.7",".","1.7",".",".",".",".",".",".",".",".","."
"Sophomore","","237","3.757","73.4","12.2","6.3","1.3","3.0",".","0.8",".",".","2.5",".",".","0.4",".",".","."
"Junior","","269","3.623","59.5","14.9","12.6","4.1","2.2",".","1.1",".",".","4.5",".",".","1.1",".",".","."
"Senior","","312","3.591","63.1","12.5","12.8","3.2","2.9","0.6","1.0",".",".","1.9",".","0.3","1.6",".",".","."
"Undergraduates","","1113","3.638","64.4","14.2","10.4","3.6","3.0","0.2","1.2",".",".","2.2",".","0.1","0.8",".",".","."
"Special","","9","4.000","66.7",".",".",".",".",".",".","11.1",".",".",".",".",".",".","22.2","."
"Graduate","","246","3.886","60.2","7.3","4.5",".",".",".",".","17.5",".",".",".","2.0","8.1",".","0.4","."
"Prof Yr 3","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Professionals","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total","1369","3.669","63.6","12.9","9.3","2.9","2.4","0.1","0.9","3.3",".","1.8",".","0.4","2.1",".","0.2","."
