"","ED LEADERSHP & POLICY ANAL Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","","",""
"","502","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","502","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Wkshp-Ed Leadrshp & Plcy Anlys","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Law and Public Education","542","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","701","001","","27","3.481","29.6","44.4","14.8","3.7","3.7",".",".","3.7",".",".",".",".",".",".",".","."
"","701","002","","26","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Higher & Post-Sec Ed","","Course Total","","53","3.702","60.4","22.6","11.3","1.9","1.9",".",".","1.9",".",".",".",".",".",".",".","."
"Athletics Administration","710","001","","24","3.729","58.3","29.2","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Govern&Admin-Coll&Universty","715","001","","8","3.200","50.0",".",".",".",".",".","12.5",".",".",".",".",".","37.5",".",".","."
"Intro to Qualitative Research","719","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch Meth & Proc-Ed Admin","725","001","","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Admin Stdt Serv-Higher Educ","736","001","","14","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Coaching 1: Everyday Practices","750","001","","30","3.966","90.0","6.7",".",".",".",".",".","3.3",".",".",".",".",".",".",".","."
"Qual Rsch Mthds-Educ: Field II","789","001","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","810","001","","24","4.000","95.8",".",".",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"","810","002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Doctoral Inquiry","","Course Total","","34","4.000","97.1",".",".",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"Intro Quant Inquiry in Educ","822","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Rsch Dsgn&Meth-Ed Admin","824","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Rsch Methods-Ed Admin","825","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","835","001","","26","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","835","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Leadershp-Inclusive Schling","","Course Total","","28","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Legal Aspects of Higher Ed","841","001","","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Foundations of Spec Ed","842","001","","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Technology Leadership","844","001","","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","845","001","","17","3.938","88.2",".","5.9",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"","845","002","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"School-Level Leadership","","Course Total","","31","3.950","90.3","3.2","3.2",".",".",".",".",".",".",".",".",".","3.2",".",".","."
"Org Theory&Behavior in Educ","860","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","863","001","","20","4.000","85.0",".",".",".",".",".",".",".",".",".",".",".","15.0",".",".","."
"","863","002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Race Class & Ed Inequality","","Course Total","","27","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"The Politics of Education","870","001","","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory&Practice-Ed Planning","875","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The American Community College","878","001","","23","4.000","95.7",".",".",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"Internationalization Higher Ed","886","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Diversity and Inequality","887","001","","19","3.921","89.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","900","001","","16","4.000","93.8",".",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"","900","002","","13","4.000","84.6",".",".",".",".",".",".",".",".",".",".",".","15.4",".",".","."
"January 05, 2022","","","","","","","","","","","","","","","","","","","","","Page 93 of 464"
