"ECONOMICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","","",""
"","390","002","","35","3.371","20.0","48.6","20.0","8.6","2.9",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Economic Issues","","Course Total","","76","3.230","17.1","36.8","25.0","17.1","3.9",".",".",".",".",".",".",".",".",".",".","."
"Intro Applied Econometrics","400","001","","97","3.106","24.7","20.6","18.6","18.6","13.4","1.0",".",".",".",".",".",".","3.1",".",".","."
"Introductory Econometrics","410","001","","89","3.326","31.5","27.0","29.2","9.0",".","2.2","1.1",".",".",".",".",".",".",".",".","."
"","420","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","420","002","","15","3.300","13.3","46.7","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","420","003","","17","3.206","11.8","47.1","17.6","17.6","5.9",".",".",".",".",".",".",".",".",".",".","."
"","420","004","","10","3.500","30.0","40.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","","Course Total","","44","3.295","15.9","43.2","27.3","11.4","2.3",".",".",".",".",".",".",".",".",".",".","."
"Economic Decision Analysis","421","001","","13","3.538","38.5","30.8","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Financial System","435","001","","25","3.417","36.0","16.0","36.0","8.0",".",".",".","4.0",".",".",".",".",".",".",".","."
"Analytical Public Finance","441","001","","40","3.436","27.5","35.0","30.0","5.0",".",".",".",".",".",".",".",".",".","2.5",".","."
"Behavioral Economics","455","001","","93","3.531","51.6","17.2","20.4","7.5","3.2",".",".",".",".",".",".",".",".",".",".","."
"International Macroeconomics","461","001","","45","3.000","20.0","20.0","20.0","20.0","15.6","2.2",".",".",".",".",".",".","2.2",".",".","."
"Latin Amer Economc Develpmt","462","001","","29","3.707","65.5","13.8","17.2","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"International Trade","464","001","","42","2.917","23.8","23.8","19.0","16.7","7.1",".","9.5",".",".",".",".",".",".",".",".","."
"Intl Industrial Organizations","467","002","","36","2.986","27.8","16.7","27.8","8.3","8.3",".","8.3",".",".",".",".",".","2.8",".",".","."
"Indus Organizat/Imperf Comp","468","001","","37","3.662","64.9","18.9","13.5",".",".",".","2.7",".",".",".",".",".",".",".",".","."
"Econ Grwth&Devlpmnt-SE Asia","473","001","","11","3.364","36.4","27.3","18.2","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Economics of Growth","475","001","","41","3.525","56.1","12.2","9.8","17.1","2.4",".",".",".",".",".",".",".","2.4",".",".","."
"Game Theory & Economic Anal","521","002","","18","3.353","38.9","22.2","22.2",".","5.6","5.6",".","5.6",".",".",".",".",".",".",".","."
"Law and Economics","522","001","","88","3.262","36.4","13.6","29.5","6.8","11.4","1.1",".",".",".",".",".",".","1.1",".",".","."
"Quant Mthds-Ag & Appl Econ","526","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Insuring Life's Risks","530","001","","39","3.436","33.3","30.8","28.2","5.1","2.6",".",".",".",".",".",".",".",".",".",".","."
"Economics of Health Care","548","001","","30","3.534","23.3","56.7","16.7",".",".",".",".",".",".",".",".",".","3.3",".",".","."
"","581","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","581","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Issues in Internatl Macro","661","001","","28","3.268","46.4","14.3","14.3","10.7","10.7",".","3.6",".",".",".",".",".",".",".",".","."
"","681","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Econ Data Analysis","695","001","","42","3.607","61.9","11.9","14.3","9.5","2.4",".",".",".",".",".",".",".",".",".",".","."
"","699","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700","001","","83","3.608","42.2","38.6","18.1","1.2",".",".",".",".",".",".",".",".",".",".",".","."
"","700","002","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 05, 2022","","","","","","","","","","","","","","","","","","","","Page 230 of 464",""
