"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","",""
"","101
001","80","3.263","16.3","48.8","22.5","2.5","3.8","1.3","2.5","2.5",".",".",".",".",".",".",".","."
"","002
101","78","3.481","44.9","33.3","10.3","2.6","5.1",".","2.6",".",".",".",".",".",".",".","1.3","."
"","003
101","84","3.470","33.3","40.5","14.3","7.1","3.6",".",".",".",".",".",".",".","1.2",".",".","."
"","101
004","77","3.578","55.8","29.9","6.5","2.6","1.3","1.3","2.6",".",".",".",".",".",".",".",".","."
"","101
005","84","3.404","36.9","35.7","13.1","6.0","4.8",".","2.4",".",".",".",".",".","1.2",".",".","."
"","101
006","88","3.574","48.9","30.7","14.8","2.3","1.1","2.3",".",".",".",".",".",".",".",".",".","."
"Introduction to Philosophy","Course Total","491","3.463","39.3","36.5","13.6","3.9","3.3","0.8","1.6","0.4",".",".",".",".","0.4",".","0.2","."
"","104
001","18","3.389","27.8","22.2","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
002","20","3.974","90.0","5.0",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"Spec Topics:Philos-Freshmen","Course Total","38","3.689","60.5","13.2","23.7",".",".",".",".",".",".",".",".",".","2.6",".",".","."
"Reason in Communication","210
001","63","3.349","58.7","14.3","12.7","1.6","3.2","1.6","7.9",".",".",".",".",".",".",".",".","."
"","211
001","71","3.486","38.0","33.8","14.1","7.0","4.2",".",".","1.4",".",".",".",".","1.4",".",".","."
"","002
211","72","3.162","38.9","19.4","13.9","12.5","5.6","4.2","4.2",".",".",".",".",".","1.4",".",".","."
"","211
003","74","3.350","50.0","20.3","8.1","2.7","6.8","1.4","5.4",".",".",".",".",".","4.1","1.4",".","."
"Elementary Logic","Course Total","217","3.331","42.4","24.4","12.0","7.4","5.5","1.8","3.2","0.5",".",".",".",".","2.3","0.5",".","."
"","241
001","70","3.243","15.7","38.6","27.1","15.7","2.9",".",".",".",".",".",".",".",".",".",".","."
"","241
002","86","3.637","53.5","26.7","12.8","2.3","1.2","1.2",".",".",".",".",".",".",".",".","2.3","."
"","003
241","88","3.847","88.6","4.5","2.3","1.1","2.3",".","1.1",".",".",".",".",".",".",".",".","."
"Introductory Ethics","Course Total","244","3.599","55.3","22.1","13.1","5.7","2.0","0.4","0.4",".",".",".",".",".",".",".","0.8","."
"","001
243","81","3.846","81.5","9.9","6.2","1.2","1.2",".",".",".",".",".",".",".",".",".",".","."
"","243
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","243
003","84","3.711","48.8","42.9","7.1",".",".",".",".",".",".",".",".",".","1.2",".",".","."
"Ethics in Business","Course Total","170","3.769","64.1","27.1","6.5","0.6","1.2",".",".",".",".",".",".",".","0.6",".",".","."
"","304
001","19","3.536","21.1","36.8","15.8",".",".",".",".",".",".",".",".",".","15.8","10.5",".","."
"","304
002","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topic in Philosophy-Humanities","Course Total","40","3.814","62.5","17.5","7.5",".",".",".",".",".",".",".",".",".","7.5","5.0",".","."
"","341
001","87","3.378","25.3","42.5","20.7","6.9","2.3",".","1.1",".",".",".",".",".",".",".","1.1","."
"","341
002","88","3.705","62.5","23.9","11.4","1.1",".",".","1.1",".",".",".",".",".",".",".",".","."
"","341
003","84","3.952","92.9","4.8","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
004","85","3.631","62.4","20.0","9.4","3.5","1.2",".","2.4","1.2",".",".",".",".",".",".",".","."
"","091
341","24","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
092","20","3.737","70.0","10.0","10.0",".","5.0",".",".",".",".",".",".",".","5.0",".",".","."
"","093
341","23","3.783","69.6","21.7","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","341
094","20","3.775","70.0","20.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","341
095","22","3.705","86.4","4.5",".",".","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"Contemporary Moral Issues","Course Total","453","3.686","62.9","21.9","9.7","2.6","1.1",".","1.1","0.2",".",".",".",".","0.2",".","0.2","."
"Hist of Ancient Philosophy","430
001","114","3.574","46.5","29.8","9.6","7.0","0.9",".","0.9","3.5",".",".",".",".",".","1.8",".","."
"","503
001","19","3.167","42.1","15.8","21.1","5.3",".",".","10.5",".",".",".",".",".",".","5.3",".","."
"","503
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Theory of Knowledge","Course Total","24","3.205","37.5","16.7","25.0","4.2",".",".","8.3","4.2",".",".",".",".",".","4.2",".","."
"Symbolic Logic","001
511","6","3.333",".","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Language and Meaning","516
001","22","3.286","22.7","40.9","22.7","4.5",".",".","4.5",".",".",".",".",".",".","4.5",".","."
"January 05, 2022","","","","","","","","","","","","","","","","","","Page 315 of 464",""
