"OCCUPATIONAL THER (DEPT-KI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"695
OCC THER","","","","","","","","","","","","","","","","","","",""
"Orientation to Occ Ther","100
001","20","3.950","95.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Neuroanatomy","640
001","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Conditions I","651
001","31","3.984","96.8","3.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Level II Fieldwork A","662
001","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Level II Fieldwork B","664
001","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Professnl/Leadership Skills 1","710
001","31","3.839","74.2","19.4","6.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Enable Occ 1: Adult Focus","722
001","31","3.806","64.5","32.3","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","770
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","770
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","770
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","770
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","770
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","770
006","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"EBP Lab Practicum","Course Total","31","3.968","93.5","6.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Evidence Based Practice 1","771
001","31","3.742","58.1","32.3","9.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Practice in IP Contexts","813
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"OT Evidence in Practice","871
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Inter-Prof Devel Leadership","890
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"OCC THER
695","Dept. Total","245","3.874","72.7","12.2","3.3",".",".",".",".",".",".","11.8",".",".",".",".",".","."
