"HISTORY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"History Internship Seminar","301
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"A History of Greek Civ","303
001","","72","3.718","65.3","16.7","11.1","5.6",".",".",".",".",".",".",".",".",".",".","1.4","."
"Introduction to Buddhism","308
001","","34","3.912","91.2",".","8.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Vietnam Wars","319
001","","67","3.878","62.7","3.0","7.5",".",".",".",".","20.9",".",".",".",".","6.0",".",".","."
"","335
001","","10","3.833","70.0","10.0","10.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","335
002","","17","3.813","76.5","5.9","5.9","5.9",".",".",".","5.9",".",".",".",".",".",".",".","."
"Korean War to the 21st Century","Course Total","","27","3.820","74.1","7.4","7.4","3.7",".",".",".","3.7",".",".",".",".","3.7",".",".","."
"Contemp France 1914-Present","349
001","","26","3.763","42.3","26.9","3.8",".",".",".",".","26.9",".",".",".",".",".",".",".","."
"The Second World War","357
001","","66","3.538","31.8","48.5","12.1","6.1",".",".",".",".",".",".",".",".","1.5",".",".","."
"Islam and Politics","370
001","","14","3.214","21.4","50.0",".","7.1","21.4",".",".",".",".",".",".",".",".",".",".","."
"","401
001","","13","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","401
003","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public History Workshop","Course Total","","20","3.947","85.0","10.0",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"History-American Education","001
412","","32","3.031","25.0","28.1","31.3","3.1",".","3.1","9.4",".",".",".",".",".",".",".",".","."
"History of Russia","418
001","","49","3.458","22.4","22.4","28.6",".",".",".",".","22.4",".",".",".",".","4.1",".",".","."
"US Military History to 1902","427
001","","34","3.800","64.7","14.7","5.9","2.9",".",".",".",".",".",".",".",".","2.9",".","8.8","."
"Law and Environment","430
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"History of Scand to 1815","431
001","","27","3.360","37.0","25.9","14.8","11.1",".",".","3.7",".",".",".",".",".","3.7","3.7",".","."
"Amer Foreign Rel-1901 on","434
001","","39","3.622","53.8","28.2","2.6","7.7",".","2.6",".",".",".",".",".",".","5.1",".",".","."
"Amer Environmental History","460
001","","19","3.600","31.6","31.6","15.8",".",".",".",".",".",".",".",".",".",".",".","21.1","."
"","500
001","","14","3.071","21.4","35.7","21.4","7.1","7.1",".","7.1",".",".",".",".",".",".",".",".","."
"","500
002","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","500
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading Seminar in History","Course Total","","33","3.576","63.6","15.2","12.1","3.0","3.0",".","3.0",".",".",".",".",".",".",".",".","."
"History of U.S. Media","560
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","600
001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
002","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
005","","10","3.750","70.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
006","","16","3.867","68.8","25.0",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"","007
600","","12","3.682","58.3","16.7","8.3","8.3",".",".",".",".",".",".",".",".","8.3",".",".","."
"","600
008","","13","3.773","69.2","7.7",".",".","7.7",".",".",".",".",".",".",".","7.7","7.7",".","."
"Advanced Seminar in History","Course Total","","80","3.836","75.0","12.5","5.0","1.3","1.3",".",".",".",".",".",".",".","3.8","1.3",".","."
"History of Student Activism","612
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Hist-Civ Rghts Movmnt in US","628
001","","12","3.500","25.0","33.3","25.0",".",".",".",".","8.3",".",".",".",".",".","8.3",".","."
"Honors Thesis Colloquium","680
001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"January 05, 2022","","","","","","","","","","","","","","","","","","","Page 262 of 464",""
