"MATHEMATICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","",""
"921
Seminar in Analysis","004","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"941","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"941","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Algebra","Course Total","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"951
Seminar in Topology","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"96","001","","13","2.346","15.4","7.7","15.4","15.4","23.1","15.4","7.7",".",".",".",".",".",".",".",".","."
"96","002","","17","2.765","23.5","11.8","29.4","11.8","11.8",".","11.8",".",".",".",".",".",".",".",".","."
"96","003","","20","2.725","25.0","20.0",".","25.0","20.0",".","10.0",".",".",".",".",".",".",".",".","."
"96","004","","17","2.500","17.6","11.8","23.5","5.9","23.5","5.9","11.8",".",".",".",".",".",".",".",".","."
"96","005","","19","2.684","21.1","21.1","15.8","10.5","15.8","5.3","10.5",".",".",".",".",".",".",".",".","."
"96","006","","12","2.125",".","8.3","16.7","16.7","33.3","25.0",".",".",".",".",".",".",".",".",".","."
"96","007","","19","2.921","26.3","21.1","21.1","5.3","15.8","5.3","5.3",".",".",".",".",".",".",".",".","."
"96","008","","20","2.289","25.0","10.0","5.0","5.0","25.0","5.0","20.0",".",".",".",".",".","5.0",".",".","."
"Preparatory Algebra","Course Total","","137","2.574","20.4","14.6","15.3","11.7","20.4","6.6","10.2",".",".",".",".",".","0.7",".",".","."
"967
Seminar in Number Theory","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","074","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","107","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","151","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","156","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","157","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","159","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","164","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","165","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","167","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","172","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","176","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","179","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","180","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","181","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","190","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","192","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","193","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","200","","1","***","","","","","","","","","",".",".",".",".",".",".","."
