"Summary by Level","#","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"LACIS","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Sophomore","4","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Senior","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduates","6","3.625","66.7","16.7","16.7","",".","",".","",".","",".","",".","",".",".",".",".",".",".",".","."
"Special","3","***","","","","","","","","","","","","","","","",".",".",".",".",".","66.7","."
"Graduate","23","3.892","69.6","13.0",".","",".","",".","",".","",".","",".","",".",".",".",".",".",".","17.4","."
"Prof Yr 3","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Professionals","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total
33","3.857","66.7","12.1","3.0","",".","",".","",".","",".","",".","",".",".",".",".",".",".","18.2","."
