"ENGR MECHANICS & AEROSPA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
001","143","3.078","37.1","16.8","18.9","9.8","4.9","5.6","5.6",".",".",".",".",".","0.7",".",".","0.7"
"","201
002","171","3.047","31.6","24.6","17.0","8.2","6.4","6.4","5.3",".",".",".",".",".","0.6",".",".","."
"Statics","Course Total","314","3.061","34.1","21.0","17.8","8.9","5.7","6.1","5.4",".",".",".",".",".","0.6",".",".","0.3"
"Dynamics","202
001","92","2.886","8.7","22.8","33.7","19.6","10.9","2.2","2.2",".",".",".",".",".",".",".",".","."
"","303
001","56","2.800","17.9","19.6","25.0","8.9","12.5","12.5","1.8",".",".",".",".",".","1.8",".",".","."
"","303
002","40","3.063","17.5","22.5","35.0","15.0","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","96","2.911","17.7","20.8","29.2","11.5","9.4","9.4","1.0",".",".",".",".",".","1.0",".",".","."
"","307
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
003","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
005","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
007","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
008","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
011","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","013
307","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
014","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
015","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","67","3.836","76.1","14.9","9.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum-Finite Elements","001
405","26","3.020","19.2","23.1","26.9","11.5","11.5",".","3.8",".",".",".",".",".","3.8",".",".","."
"Design Probs in Engineering","469
001","26","3.365","30.8","34.6","23.1",".","11.5",".",".",".",".",".",".",".",".",".",".","."
"Adv Mech of Materials I","506
001","46","2.833","10.9","23.9","17.4","30.4","8.7","4.3","2.2","2.2",".",".",".",".",".",".",".","."
"Aerodynamics","521
001","32","2.453","6.3","12.5","12.5","15.6","46.9","6.3",".",".",".",".",".",".",".",".",".","."
"Rocket Propulsion","524
001","31","2.726","9.7","19.4","25.8","22.6","16.1",".","6.5",".",".",".",".",".",".",".",".","."
"Advanced Dynamics","542
001","52","2.950","25.0","25.0","21.2",".","13.5","5.8","5.8","1.9",".",".",".",".","1.9",".",".","."
"Engineering Analysis I","547
001","16","3.733","56.3","25.0","12.5",".",".",".",".",".",".",".",".",".",".","6.3",".","."
"","599
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
056","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
057","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","5","***","","","","","","","","","","","","","","","",""
"","601
001","11","3.375","54.5",".","9.1",".",".",".","9.1","27.3",".",".",".",".",".",".",".","."
"","601
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics: Engr Mech","Course Total","13","3.423","61.5",".","7.7",".",".",".","7.7","23.1",".",".",".",".",".",".",".","."
"Intro to Finite Elements","605
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Micro- and Nanoscale Mechanics","615
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Viscoelastic Solids","630
001","15","3.833","80.0","6.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Plasticity Theory and Physics","703
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"January 05, 2022","","","","","","","","","","","","","","","","","","Page 135 of 464",""
