"Third Semester Hebrew","201
001","","6","4.000","100.0",".",".",".","","",".","",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"Intro to Hebrew Literature","301
001","","3","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Topics in Modern Hebrew Lit","401
001","","2","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"HEBR-MOD
442","Dept. Total","","38","3.932","89.5","7.9","2.6","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"442
HEBR-MOD","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","10","3.949","90.0","10.0",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","10","3.850","80.0","10.0","10.0","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","6","3.913","83.3","16.7",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","7","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","33","3.922","87.9","9.1","3.0","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","","3","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","","2","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"","Dept. Total","","38","3.932","89.5","7.9","2.6","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
