"","990
013","3","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
203","3","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
214","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Research","Course Total","12","4.000","83.3",".",".","",".","",".","",".","",".","16.7","",".",".","",".","",".","",".",".",".","."
"PEDIAT
708","Dept. Total","174","3.922","48.3","4.0","1.1","",".","",".","",".","",".","44.8","",".",".","",".","",".","",".",".","1.7","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"708
PEDIAT","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","","2","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","11","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","17","4.000","82.4",".",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","17.6","."
"Undergraduates","","31","4.000","90.3",".",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","9.7","."
"Graduate","","5","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 1","","76","3.858","68.4","9.2","2.6","",".","",".","",".","",".","19.7","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","2","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 4","","60","",".",".",".","",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Professionals","","138","3.858","37.7","5.1","1.4","",".","",".","",".","",".","55.8","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","174","3.922","48.3","4.0","1.1","",".","",".","",".","",".","44.8","",".",".","",".","",".","",".",".","1.7","."
