"LANDSCAPE ARCHITECTURE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"520
LAND ARC","","","","","","","","","","","","","","","","","","",""
"Intro Land Arch Design","210
001","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
001","10","3.150","50.0","30.0",".",".",".","10.0","10.0",".",".",".",".",".",".",".",".","."
"","250
002","6","2.900","33.3","16.7",".",".","16.7","16.7",".",".",".",".",".",".",".","16.7",".","."
"","003
250","15","3.600","73.3",".","13.3",".","13.3",".",".",".",".",".",".",".",".",".",".","."
"","250
005","28","3.464","60.7","17.9","7.1","3.6","3.6","3.6","3.6",".",".",".",".",".",".",".",".","."
"","250
006","46","3.643","26.1","13.0","2.2","2.2","2.2",".",".","52.2",".",".",".",".","2.2",".",".","."
"","250
008","12","3.955","83.3","8.3",".",".",".",".",".",".",".",".",".",".",".","8.3",".","."
"","009
250","16","3.500","62.5","18.8","6.3","6.3",".",".","6.3",".",".",".",".",".",".",".",".","."
"","250
010","15","3.536","60.0","6.7","6.7","13.3","6.7",".",".",".",".",".",".",".",".","6.7",".","."
"Survey of Land Arch Design","Course Total","148","3.521","51.4","13.5","4.7","3.4","4.1","2.0","2.0","16.2",".",".",".",".","0.7","2.0",".","."
"Prin Land Arc Dsgn&Graphics","261
002","16","3.250","18.8","50.0","25.0",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"Dimensions-Material Culture","264
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Studies","299
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Landscape Arch Tech II","354
001","14","2.577","21.4","21.4","7.1",".","28.6",".","14.3",".",".",".",".",".","7.1",".",".","."
"Eco-Restoration Education","363
001","46","4.000","97.8",".",".",".",".",".",".",".",".",".",".",".","2.2",".",".","."
"","375
001","21","3.738","71.4","4.8","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
005","31","3.371","58.1","16.1","9.7","6.5",".","3.2","6.5",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","56","3.595","66.1","10.7","14.3","3.6",".","1.8","3.6",".",".",".",".",".",".",".",".","."
"Internship in Land Arch","397
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Visual Communication","460
001","13","3.154","7.7","38.5","38.5","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"Apps of GIS in Planning","532
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Professionl Pract-Land Arch","001
550","7","3.500","57.1","14.3","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Plants and Ecology in Design","560
001","14","3.214","7.1","50.0","28.6","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Designing Sustainable Regions","563
002","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Landscape Arch","610
001","7","3.500","42.9","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Restoration Ecology","668
001","11","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems-Land Arch","699
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Theories-Landscape Change","710
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Crit Inquiry-Landscape Dsgn","720
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Graduate Seminar","940
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
015","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Independent Studies","999
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
