"MANAGEMENT AND HUMAN RES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"","300
001","121","3.383","19.0","48.8","23.1","5.8","2.5",".",".",".",".",".",".",".","0.8",".",".","."
"","002
300","41","3.061","2.4","26.8","51.2","19.5",".",".",".",".",".",".",".",".",".",".",".","."
"","003
300","39","3.128","10.3","30.8","35.9","20.5","2.6",".",".",".",".",".",".",".",".",".",".","."
"","300
004","37","3.135","5.4","35.1","40.5","18.9",".",".",".",".",".",".",".",".",".",".",".","."
"","300
005","40","3.423","15.0","55.0","25.0","2.5",".",".",".",".",".",".",".",".","2.5",".",".","."
"","006
300","37","2.919","5.4","24.3","45.9","8.1","13.5",".","2.7",".",".",".",".",".",".",".",".","."
"","300
007","38","3.432","15.8","55.3","23.7","2.6",".",".",".",".",".",".",".",".","2.6",".",".","."
"","008
300","39","3.218","5.1","41.0","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","300
009","39","3.167","7.7","28.2","43.6","12.8",".",".",".",".",".",".",".",".","7.7",".",".","."
"","300
010","40","3.053","5.0","25.0","52.5","5.0","5.0","2.5",".",".",".",".",".",".","5.0",".",".","."
"","300
011","40","3.026",".","42.5","37.5","7.5","7.5",".","2.5",".",".",".",".",".","2.5",".",".","."
"","300
012","34","3.364","8.8","55.9","29.4","2.9",".",".",".",".",".",".",".",".","2.9",".",".","."
"Managing Organizations","Course Total","545","3.220","9.9","40.4","35.8","9.0","2.6","0.2","0.4",".",".",".",".",".","1.8",".",".","."
"","305
001","64","3.782","81.3","4.7","4.7",".","4.7","1.6",".",".",".",".",".",".","3.1",".",".","."
"","305
002","62","3.938","80.6","8.1","1.6",".",".",".",".","1.6",".",".",".",".","8.1",".",".","."
"Human Resource Management","Course Total","126","3.856","81.0","6.3","3.2",".","2.4","0.8",".","0.8",".",".",".",".","5.6",".",".","."
"Nw Vntrs in Bus,Arts&Soc Entrp","320
001","25","3.620","60.0","12.0","24.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"Intro to Entrepreneurial Mgnt","322
001","196","3.431","33.2","28.6","31.6","4.6","2.0",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365
002","14","3.750","78.6","7.1","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Reading & Rsch-Management","399
146","1","***","","","","","","","","","",".",".",".",".",".",".","."
"The Management of Teams","401
001","38","3.592","36.8","47.4","13.2","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","403
001","23","3.652","56.5","26.1","8.7","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"","002
403","15","3.667","60.0","20.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Global Issues in Management","Course Total","38","3.658","57.9","23.7","10.5","7.9",".",".",".",".",".",".",".",".",".",".",".","."
"","422
001","39","3.795","64.1","30.8","5.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
002","37","3.750","56.8","32.4","8.1",".",".",".",".",".",".",".",".",".","2.7",".",".","."
"Entrepreneurial Management","Course Total","76","3.773","60.5","31.6","6.6",".",".",".",".",".",".",".",".",".","1.3",".",".","."
"","423
001","40","3.500","32.5","35.0","32.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
423","33","3.606","45.5","30.3","24.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Management","Course Total","73","3.548","38.4","32.9","28.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Venture Creation","434
001","44","3.943","88.6","11.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Compensation: Theory & Adm","610
001","32","3.719","46.9","50.0","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","628
001","33","3.455","33.3","27.3","36.4","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"","628
002","29","3.966","96.6",".","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","628
030","36","3.931","86.1","13.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Negotiations","Course Total","98","3.781","71.4","14.3","13.3","1.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Arts Entrepreneurship","632
001","31","3.758","61.3","29.0","9.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Organizational Behavior","700
040","16","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managing Behav in Organizatns","704
050","55","3.882","80.0","16.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Resource Management","705
001","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","706
020","46","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 05, 2022","","","","","","","","","","","","","","","","","","","Page 58 of 464"
