"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","",""
"","110
041","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
042","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
043","27","3.981","96.3","3.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
044","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
045","29","3.966","93.1","6.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
046","29","3.983","96.6","3.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
047","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
100","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pers & Prof Foundation in Bus","Course Total","1128","3.898","90.4","4.3","3.4","0.6","0.6","0.3","0.4",".",".",".",".",".",".",".",".","."
"Business Law","301
001","413","3.021","6.3","23.2","44.6","22.0","3.4",".","0.5",".",".",".",".",".",".",".",".","."
"","302
001","38","3.658","47.4","39.5","10.5","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","302
002","18","3.583","27.8","61.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bus Orgs&Negotiable Instrumnts","Course Total","56","3.634","41.1","46.4","10.7","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"Business Analytics I","001
306","539","3.082","21.3","9.5","46.9","9.1","11.7",".","0.6","0.2",".",".",".",".","0.7",".",".","."
"","307
001","18","3.333","16.7","61.1","11.1","5.6",".","5.6",".",".",".",".",".",".",".",".",".","."
"","307
002","35","3.100","22.9","40.0","2.9","20.0","5.7","8.6",".",".",".",".",".",".",".",".",".","."
"","307
003","58","3.069","19.0","34.5","13.8","20.7","5.2","6.9",".",".",".",".",".",".",".",".",".","."
"","307
004","95","3.121","18.9","30.5","20.0","21.1","7.4","2.1",".",".",".",".",".",".",".",".",".","."
"","307
005","98","3.102","18.4","33.7","20.4","17.3","4.1","6.1",".",".",".",".",".",".",".",".",".","."
"Business Analytics II","Course Total","304","3.115","19.1","35.2","16.4","18.8","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"Acctg&Finance - Non-Bus Majors","010
310","187","3.113","20.3","21.4","27.3","23.5","6.4",".","0.5",".",".",".",".",".",".",".","0.5","."
"","311
001","74","3.236","20.3","40.5","23.0","9.5","2.7","2.7","1.4",".",".",".",".",".",".",".",".","."
"","311
002","71","3.155","18.3","35.2","25.4","7.0","12.7",".","1.4",".",".",".",".",".",".",".",".","."
"","311
003","69","3.188","15.9","40.6","21.7","14.5","5.8",".","1.4",".",".",".",".",".",".",".",".","."
"","311
004","74","3.250","14.9","44.6","29.7","2.7","5.4","2.7",".",".",".",".",".",".",".",".",".","."
"Mgmt & Mrktg Non-Bus Majors","Course Total","288","3.208","17.4","40.3","25.0","8.3","6.6","1.4","1.0",".",".",".",".",".",".",".",".","."
"","360
001","18","3.833","77.8","16.7",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","360
002","17","3.529","35.3","35.3","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
003","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
004","19","3.711","42.1","57.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
005","16","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
006","19","3.553","36.8","42.1","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","360
007","19","3.658","42.1","47.4","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
008","20","3.700","75.0","20.0",".",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","360
009","20","3.675","40.0","55.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
010","17","3.471","35.3","58.8",".",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"","360
011","18","3.639","38.9","55.6",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","360
012","19","3.684","47.4","47.4",".","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","015
360","19","3.711","57.9","31.6","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","360
016","20","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
017","19","3.632","31.6","63.2","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
018","20","3.775","60.0","35.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
