"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","",""
"ENGLISH","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"352
ENGL","","","","","","","","","","","","","","","","","","","","",""
"","307","005","","14","3.821","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307","006","","15","3.633","86.7",".",".","6.7",".",".","6.7",".",".",".",".",".",".",".",".","."
"Creatv Wrtng:Fic&PoetWkshp","","Course Total","","87","3.773","81.6","11.5",".","1.1","1.1","1.1","2.3",".",".",".",".",".","1.1",".",".","."
"Structure of English","314","001","","24","3.750","79.2",".","16.7",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"English Phonology","315","001","","19","3.529","57.9","15.8","5.3","5.3",".",".","5.3",".",".",".",".",".","5.3",".","5.3","."
"English Lang Variation in U.S.","316","001","","18","4.000","94.4",".",".",".",".",".",".",".",".",".",".",".",".",".","5.6","."
"Second Language Acquisition","318","001","","30","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Sixteenth Century","328","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Gender & Literature","350","001","","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"British Lit since 1900","353","001","","14","2.893","14.3","14.3","28.6","21.4","21.4",".",".",".",".",".",".",".",".",".",".","."
"Lit of Migration and Diaspora","375","001","","12","3.591","41.7","25.0","25.0",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Race, Sex, and Texts","401","001","","22","4.000","95.5",".",".",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"","403","001","","14","3.962","85.7","7.1",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","403","002","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Writng Across Curriculm","","Course Total","","25","3.958","88.0","8.0",".",".",".",".",".",".",".",".",".",".","4.0",".",".","."
"Creative Writing: Nonfiction","407","001","","12","3.500","75.0",".","16.7",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","408","001","","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","408","002","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Writing: Fiction","","Course Total","","27","3.963","96.3",".","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","409","001","","16","3.531","81.3",".",".","6.3","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"","409","002","","14","3.821","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Writing: Poetry","","Course Total","","30","3.667","76.7","10.0","3.3","3.3","3.3",".","3.3",".",".",".",".",".",".",".",".","."
"Creative Writing: Workshop","411","002","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to TESOL Methods","415","001","","13","3.808","76.9","7.7","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"History of English Language","417","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chaucers Courtly Poetry","426","001","","9","3.611","55.6","22.2","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Early Works of Shakespeare","431","001","","23","3.891","78.3","21.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spenser","433","001","","16","3.844","75.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topic in 18th-Century Lit","438","001","","35","3.735","80.0","11.4",".",".",".","2.9","2.9",".",".",".",".",".","2.9",".",".","."
"Outstanding Figure(s) in Lit","443","001","","32","3.923","68.8","12.5",".",".",".",".",".",".",".",".",".",".","18.8",".",".","."
"","444","001","","13","3.654","61.5","7.7","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","444","002","","16","3.500","50.0","18.8","6.3","6.3",".","6.3",".",".",".",".",".",".","6.3","6.3",".","."
"Topic in 19th-Century Brit Lit","","Course Total","","29","3.574","55.2","13.8","17.2","3.4",".","3.4",".",".",".",".",".",".","3.4","3.4",".","."
"Topic in Brit Lit since 1900","453","001","","7","3.357","42.9","14.3","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Figure in American Lit","455","001","","23","3.810","87.0",".",".",".",".",".","4.3","8.7",".",".",".",".",".",".",".","."
"Topic in 19th-Century Amer Lit","456","001","","13","3.708","53.8","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".","7.7","."
"Topic in American Lit","457","001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Asian American Poetry","465","001","","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","474","001","","27","3.692","59.3","18.5","14.8","3.7",".",".",".","3.7",".",".",".",".",".",".",".","."
