"AFRICAN CULTURAL STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","",""
"Intro Afr Cultural Expression","100
001","94","3.645","73.4","8.5","5.3","4.3","4.3","2.1","1.1",".",".",".",".",".","1.1",".",".","."
"Intro African Cultural Studies","202
001","21","3.900","85.7",".","9.5",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"Intro Topics African Languages","204
001","23","3.652","69.6","17.4","8.7",".",".",".","4.3",".",".",".",".",".",".",".",".","."
"","210
001","17","3.633","70.6","5.9","5.9",".",".",".","5.9","5.9",".",".",".",".","5.9",".",".","."
"","210
002","34","3.939","91.2","2.9",".","2.9",".",".",".",".",".",".",".",".","2.9",".",".","."
"","210
003","31","3.694","77.4","9.7","6.5",".","3.2",".","3.2",".",".",".",".",".",".",".",".","."
"","004
210","30","3.717","80.0","10.0","3.3",".","3.3",".","3.3",".",".",".",".",".",".",".",".","."
"","210
005","27","3.741","85.2","7.4",".",".","3.7",".","3.7",".",".",".",".",".",".",".",".","."
"The African Storyteller","Course Total","139","3.761","82.0","7.2","2.9","0.7","2.2",".","2.9","0.7",".",".",".",".","1.4",".",".","."
"Intro to Afr Pop Culture","212
001","26","3.854","69.2","19.2","3.8",".",".",".",".",".",".",".",".",".",".","3.8","3.8","."
"Lead with Languages","275
001","21","3.833","90.5","4.8",".",".",".","4.8",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","21","3.684","38.1","47.6","4.8",".",".",".",".",".",".",".",".",".","9.5",".",".","."
"Arabic Lit & Cinema","302
001","11","3.944","72.7","9.1",".",".",".",".",".","9.1",".",".",".",".",".","9.1",".","."
"","321
001","7","3.214","57.1","14.3",".",".","14.3","14.3",".",".",".",".",".",".",".",".",".","."
"","321
002","17","3.781","70.6","5.9","17.6",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"","321
003","8","3.500","50.0","25.0","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"First Semester Arabic","Course Total","32","3.581","62.5","12.5","12.5",".","6.3","3.1",".",".",".",".",".",".","3.1",".",".","."
"","323
001","8","3.438","50.0","12.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","323
002","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Arabic","Course Total","16","3.531","50.0","18.8","18.8","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Fifth Semester Arabic","329
001","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Swahili","331
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Swahili","333
001","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","371
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Yoruba","Course Total","3","***","","","","","","","","","","","","","","","",""
"Third Semester Yoruba","373
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","405
002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","405
003","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"African Cultural Studies","Course Total","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fifth Semester Swahili","435
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"African/Francophone Film","440
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Theory & Methods LCTL Learning","670
001","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Multilanguage Seminar","671
001","8","3.750","75.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"Reading&Writing Afri Cultr Std","700
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Teaching African Languages","703
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Sem in ACS: Tpcs","905
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"January 05, 2022","","","","","","","","","","","","","","","","","","Page 174 of 464",""
