"EDUCATIONAL POLICY STUDIES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","",""
"Hist:The Univ in the West","107
001","6","3.333","33.3","16.7","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Education","140
001","55","3.935","92.7","1.8","1.8",".","1.8",".",".","1.8",".",".",".",".",".",".",".","."
"","150
001","24","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
002","20","3.583","55.0","10.0","15.0","5.0","5.0",".",".",".",".",".",".",".","10.0",".",".","."
"","150
003","21","3.625","47.6","23.8","23.8",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"","150
004","14","3.962","85.7","7.1",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","150
005","30","3.750","66.7","20.0","10.0","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"","150
006","18","3.889","83.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
007","23","3.977","91.3","4.3",".",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"Education and Public Policy","Course Total","150","3.803","72.7","14.0","8.0","1.3","0.7",".",".",".",".",".",".",".","3.3",".",".","."
"Race,Ethnicty&Inequal-Am Ed","001
200","19","3.842","73.7","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Careers in Education","202
001","20","3.684","80.0",".","10.0",".",".",".","5.0",".",".",".",".",".","5.0",".",".","."
"","210
001","41","3.829","82.9","4.9","9.8",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"","210
002","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Youth, Education, and Society","Course Total","59","3.873","86.4","5.1","6.8",".","1.7",".",".",".",".",".",".",".",".",".",".","."
"Human Rights and Education","220
001","29","3.904","82.8","3.4",".",".","3.4",".",".",".",".",".",".",".","10.3",".",".","."
"","240
001","41","3.915","87.8","7.3","4.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","240
002","25","3.960","92.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comparative Education","Course Total","66","3.932","89.4","7.6","3.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
001","26","3.820","76.9","11.5",".","7.7",".",".",".",".",".",".",".",".","3.8",".",".","."
"","300
002","69","4.000","97.1",".",".",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"","300
003","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
004","26","3.846","80.8","15.4",".",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"School and Society","Course Total","137","3.937","90.5","5.1",".","1.5","0.7",".",".",".",".",".",".",".","2.2",".",".","."
"Globalization and Education","001
335","24","3.708","70.8","16.7","4.2",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","399
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","3","***","","","","","","","","","","","","","","","",""
"History-American Education","412
001","69","3.462","44.9","24.6","15.9","5.8",".","2.9","1.4","1.4",".",".",".",".","2.9",".",".","."
"Topics on Soc Issues and Ed","500
001","12","3.625","66.7","25.0",".",".",".","8.3",".",".",".",".",".",".",".",".",".","."
"Law and Public Education","542
001","20","3.917","75.0","15.0",".",".",".",".",".",".",".",".",".",".","5.0","5.0",".","."
"Anthropology and Education","570
001","14","3.893","92.9",".",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Education Policy and Practice","575
001","34","3.844","70.6","17.6","5.9",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Problems in Educ Pol","600
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"History of Student Activism","612
001","8","3.875","37.5","12.5",".",".",".",".",".",".",".",".",".",".","50.0",".",".","."
"","699
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","3","***","","","","","","","","","","","","","","","",""
"Intro to Ed Policy Studies","701
001","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Intro to Qualitative Research","719
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
