"FRENCH (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","",""
"","101
001","19","3.500","47.4","21.1","21.1","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","101
002","22","3.409","36.4","40.9","9.1","4.5","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"","101
003","21","3.429","47.6","19.0","19.0",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","004
101","18","3.250","22.2","33.3","22.2","16.7","5.6",".",".",".",".",".",".",".",".",".",".","."
"","101
005","17","3.559","58.8","17.6","5.9","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"","101
006","18","3.176","22.2","44.4","11.1",".","11.1",".","5.6","5.6",".",".",".",".",".",".",".","."
"","101
007","19","3.000","36.8","26.3","10.5","5.3","5.3","5.3","10.5",".",".",".",".",".",".",".",".","."
"First Semester French","Course Total","134","3.335","38.8","29.1","14.2","6.0","7.5","1.5","2.2","0.7",".",".",".",".",".",".",".","."
"","102
001","15","3.467","46.7","33.3","6.7","6.7",".","6.7",".",".",".",".",".",".",".",".",".","."
"","102
002","14","3.357","35.7","28.6","21.4",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","003
102","18","2.806","11.1","33.3","22.2","16.7","5.6",".","11.1",".",".",".",".",".",".",".",".","."
"","102
004","18","2.765","11.1","33.3","5.6","22.2","5.6","16.7",".","5.6",".",".",".",".",".",".",".","."
"Second Semester French","Course Total","65","3.070","24.6","32.3","13.8","12.3","6.2","6.2","3.1","1.5",".",".",".",".",".",".",".","."
"","203
001","20","3.025","20.0","30.0","15.0","25.0","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"","203
002","20","2.975","35.0","20.0","15.0","5.0","10.0","10.0","5.0",".",".",".",".",".",".",".",".","."
"","203
003","20","2.950",".","50.0","30.0","10.0",".","5.0","5.0",".",".",".",".",".",".",".",".","."
"","203
004","19","3.421","36.8","36.8","10.5","5.3","10.5",".",".",".",".",".",".",".",".",".",".","."
"Third Semester French","Course Total","79","3.089","22.8","34.2","17.7","11.4","6.3","3.8","3.8",".",".",".",".",".",".",".",".","."
"","204
001","16","3.571","37.5","25.0","25.0",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","204
002","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
003","17","3.188","17.6","29.4","29.4","5.9","11.8",".",".",".",".",".",".",".",".",".","5.9","."
"","204
004","18","3.500","27.8","55.6","11.1",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","204
005","10","3.400","30.0","30.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester French","Course Total","71","3.478","33.8","35.2","19.7","2.8","4.2",".",".",".",".",".",".",".","2.8",".","1.4","."
"French Lit & Interdis Studies","211
001","64","3.906","93.8","3.1","1.6",".",".",".","1.6",".",".",".",".",".",".",".",".","."
"","227
001","18","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","227
002","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Exploring French:Intermed Crse","Course Total","29","3.759","62.1","27.6","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
002","12","3.417","58.3","16.7","16.7",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","228
011","19","3.658","63.2","10.5","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","228
012","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
013","15","3.800","86.7",".","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","54","3.624","66.7","11.1","16.7","1.9","1.9",".","1.9",".",".",".",".",".",".",".",".","."
"","271
003","7","3.786","85.7",".",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","271
012","16","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
013","10","3.650","60.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Literary Analysis","Course Total","33","3.802","75.8","15.2","3.0","6.1",".",".",".",".",".",".",".",".",".",".",".","."
"","311
001","23","3.478","39.1","34.8","13.0","8.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"","311
002","14","3.357","42.9","28.6",".","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"Adv Composition & Conversation","Course Total","37","3.432","40.5","32.4","8.1","10.8","8.1",".",".",".",".",".",".",".",".",".",".","."
"Prof Comm&Cultr in Franc World","313
001","25","3.680","60.0","32.0","4.0",".",".","4.0",".",".",".",".",".",".",".",".",".","."
"Medievl, Renais&Early Mod Lit","321
001","21","3.810","81.0","9.5","4.8",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"January 05, 2022","","","","","","","","","","","","","","","","","","Page 245 of 464",""
