"Advanced Production Practicum","661
003","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"Senior Thesis","691
001","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"Directed Study","699
016","3","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"THEATRE
942","Dept. Total","719","3.796","80.1","8.2","4.7","2.1","1.1","0.4","1.0","",".","",".","0.1","",".","0.1","1.0","0.3","0.8","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","80","3.874","83.8","11.3","2.5",".","1.3",".",".","",".","",".",".","",".",".","1.3",".",".","."
"Sophomore","","153","3.762","78.4","9.8","5.2","3.9","0.7",".","1.3","",".","",".",".","",".",".","0.7",".",".","."
"Junior","","215","3.768","80.9","7.4","5.1","1.9","0.9","0.5","1.9","",".","",".",".","",".",".","1.4",".",".","."
"Senior","","255","3.811","79.6","7.5","5.1","2.0","1.6","0.8","0.4","",".","",".","0.4","",".","0.4","0.8","0.8","0.8","."
"Undergraduates","","703","3.793","80.2","8.4","4.8","2.1","1.1","0.4","1.0","",".","",".","0.1","",".","0.1","1.0","0.3","0.3","."
"Special","","10","4.000","60.0",".",".",".",".",".",".","",".","",".",".","",".",".",".",".","40.0","."
"Graduate","","6","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","719","3.796","80.1","8.2","4.7","2.1","1.1","0.4","1.0","",".","",".","0.1","",".","0.1","1.0","0.3","0.8","."
