"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"ACCT I S","","","","","","","","","","","","","","","","","","","",""
"Freshmen","3","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","449","2.975","16.5","22.5","25.8","16.7","15.8","1.3","1.1",".","",".",".","",".",".","0.2",".",".","."
"Junior","749","3.137","22.3","23.5","28.7","13.2","10.5","1.2","0.3",".","",".",".","",".",".","0.3",".",".","."
"Senior","613","3.309","32.6","21.0","30.0","8.6","7.0","0.5",".",".","",".",".","",".",".","0.2",".",".","."
"Undergraduates","1814","3.153","24.4","22.4","28.4","12.5","10.7","1.0","0.4",".","",".",".","",".",".","0.2",".",".","."
"Special","22","2.952","18.2","13.6","31.8","13.6","13.6","4.5",".","4.5","",".",".","",".",".",".",".",".","."
"Graduate","474","3.683","54.2","28.1","13.1","1.9","0.4",".","0.2","1.5","",".",".","",".","0.2",".",".","0.4","."
"Prof Yr 2","2","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 3","2","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","4","***","","","","","","","","","","",".","",".",".",".",".",".","."
