"REHAB PSYCH & SPECIAL EDUC Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","",""
"","100
001","46","3.967","93.5","6.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
002","50","3.620","54.0","24.0","14.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"","100
003","50","3.830","84.0","10.0",".",".","6.0",".",".",".",".",".",".",".",".",".",".","."
"","004
100","48","3.854","83.3","8.3","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","100
005","50","3.950","96.0","2.0",".",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"","100
006","49","3.867","87.8","10.2",".",".",".",".","2.0",".",".",".",".",".",".",".",".","."
"","007
100","96","3.703","75.0","13.5","5.2","2.1","1.0",".","3.1",".",".",".",".",".",".",".",".","."
"Disability and Society","Course Total","389","3.811","81.0","11.1","3.6","2.1","1.3",".","1.0",".",".",".",".",".",".",".",".","."
"Disability and Substance Abuse","121
001","41","3.963","95.1","2.4","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
001","40","3.988","97.5","2.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
002","40","3.900","97.5",".",".",".",".",".","2.5",".",".",".",".",".",".",".",".","."
"Health & Rhabilitatn Prfessns","Course Total","80","3.944","97.5","1.3",".",".",".",".","1.3",".",".",".",".",".",".",".",".","."
"Issues in Special Education","200
002","20","3.850","95.0",".",".",".",".","5.0",".",".",".",".",".",".",".",".",".","."
"","300
001","75","3.778","81.3","2.7","4.0","5.3","1.3",".","1.3",".",".",".",".",".","4.0",".",".","."
"","300
002","91","3.846","90.1",".","6.6",".","2.2",".","1.1",".",".",".",".",".",".",".",".","."
"","300
003","86","3.791","84.9",".","11.6",".","2.3",".","1.2",".",".",".",".",".",".",".",".","."
"Individls with Disabilities","Course Total","252","3.807","85.7","0.8","7.5","1.6","2.0",".","1.2",".",".",".",".",".","1.2",".",".","."
"","310
001","25","4.000","96.0",".",".",".",".",".",".",".",".",".",".",".","4.0",".",".","."
"","310
002","19","3.895","89.5","5.3",".","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Positive Psych and Well Being","Course Total","44","3.953","93.2","2.3",".","2.3",".",".",".",".",".",".",".",".","2.3",".",".","."
"","316
001","45","3.944","93.3","2.2","4.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
316","45","3.977","95.6",".","2.2",".",".",".",".",".",".",".",".",".","2.2",".",".","."
"Health Prmtion Disab & Illness","Course Total","90","3.961","94.4","1.1","3.3",".",".",".",".",".",".",".",".",".","1.1",".",".","."
"","325
001","26","3.900","80.8","11.5","3.8",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"","325
002","28","3.946","89.3","10.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Self Mngmt Illness, Disability","Course Total","54","3.925","85.2","11.1","1.9",".",".",".",".",".",".",".",".",".","1.9",".",".","."
"Behav Anal:Person-Disabilty","330
001","28","3.804","67.9","25.0","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Sport Psychology","335
001","35","3.971","94.3","5.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tching Math in Inclusive Set","365
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"AAC and Assistive Tech","401
001","15","3.929","86.7",".","6.7",".",".",".",".",".",".",".",".",".",".","6.7",".","."
"Tching Functional Skills","402
001","19","4.000","89.5",".",".",".",".",".",".",".",".",".",".",".","5.3","5.3",".","."
"Current Topics in Special Ed","405
001","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","464
001","35","3.765","77.1","11.4","5.7",".",".",".","2.9",".",".",".",".",".","2.9",".",".","."
"","464
002","27","3.963","96.3",".","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Diagnosis and Assessment","Course Total","62","3.852","85.5","6.5","4.8",".",".",".","1.6",".",".",".",".",".","1.6",".",".","."
"Diversity in Special Education","466
001","36","3.986","97.2","2.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Stdt Teaching Seminar","467
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Secondary Student Teaching Smr","468
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"SE Practicum: Elem (PK - Gr 9)","475
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"SE Practicum: Sec (Gr 4-12)","476
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
