"RELIGIOUS STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"856
RELIG ST","","","","","","","","","","","","","","","","","","",""
"Religion in Sickness & Health","102
001","126","3.405","27.0","42.9","19.8","7.9","1.6",".","0.8",".",".",".",".",".",".",".",".","."
"Consuming Happiness","173
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Jewish Law, Business, Ethics","203
001","9","3.167","22.2","55.6","11.1",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"Genres-Westrn Relig Writing","234
001","6","3.500","16.7","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Asia Enchanted","001
236","19","3.447","68.4","10.5","5.3","5.3",".","5.3","5.3",".",".",".",".",".",".",".",".","."
"Women, Gender and Religion","305
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"A Survey of Tibetan Buddhism","307
001","22","3.932","90.9","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Buddhism","308
001","15","3.767","73.3","6.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nordic Mythology","342
001","19","3.474","26.3","52.6","10.5","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"Meditation Buddhism & Hinduism","473
001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Religion-Critical Perspective","600
001","17","3.433","29.4","29.4","17.6","11.8",".",".",".",".",".",".",".",".","11.8",".",".","."
"Senior Honors Thesis","681
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"RELIG ST
856","Dept. Total","243","3.501","39.9","34.6","15.2","6.2","0.8","0.4","1.2",".",".",".",".","0.8","0.8",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"856
RELIG ST","","","","","","","","","","","","","","","","","","",""
"Freshmen","","58","3.362","24.1","41.4","27.6","3.4","1.7",".","1.7",".",".",".",".",".",".",".",".","."
"Sophomore","","69","3.452","31.9","42.0","17.4","7.2",".",".","1.4",".",".",".",".",".",".",".",".","."
"Junior","","47","3.562","55.3","25.5","6.4","8.5","2.1",".","2.1",".",".",".",".",".",".",".",".","."
"Senior","","68","3.623","50.0","27.9","8.8","5.9",".","1.5",".",".",".",".",".","2.9","2.9",".",".","."
"Undergraduates","","242","3.499","39.7","34.7","15.3","6.2","0.8","0.4","1.2",".",".",".",".","0.8","0.8",".",".","."
"Graduate","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total","243","3.501","39.9","34.6","15.2","6.2","0.8","0.4","1.2",".",".",".",".","0.8","0.8",".",".","."
