"EDUCATIONAL PSYCHOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","","","",""
"","711","002","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","711","010","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics-Ed Psych","","Course Total","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Qualitative Research","719","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Child Development","720","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dev Proc Across Life Span","723","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory & Issues-Human Dev","725","001","","19","3.706","42.1","42.1","5.3",".",".",".",".",".",".",".",".",".","10.5",".",".","."
"Socl, Emotionl&Behav Assessmnt","741","001","","20","4.000","95.0",".",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"Assessment of Acad Skill Probs","742","001","","22","4.000","95.5",".",".",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"","760","001","","30","3.983","96.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760","002","","25","3.979","92.0","4.0",".",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"Stat Meth Appl to Educ I","","Course Total","","55","3.981","94.5","3.6",".",".",".",".",".","1.8",".",".",".",".",".",".",".","."
"Intro: Dsgn-Ed Experiments","762","001","","26","3.870","69.2","15.4","3.8",".",".",".",".","11.5",".",".",".",".",".",".",".","."
"Regression Models in Education","763","001","","23","4.000","95.7",".",".",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"Human-Computer Interaction","770","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Test Construction","771","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Learning Sciences I","795","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Quant Inquiry in Educ","822","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","840","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840","002","","19","4.000","94.7",".",".",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"","840","006","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","840","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Pract-School Psych","","Course Total","","52","3.991","96.2","1.9",".",".",".",".",".",".",".",".",".",".","1.9",".",".","."
"Chld&Adoles Psychpathl/Schl","844","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prevention Science","880","001","","21","4.000","95.2",".",".",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"Advanced Seminar in Human Dev","925","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","943","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","943","002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internshp-School Psychology","","Course Total","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Res and Meas in School Psych","948","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quasi-Experimental Designs","963","001","","18","3.735","61.1","16.7","16.7",".",".",".",".",".",".",".",".",".",".","5.6",".","."
"","990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","014","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
