"Summary by Level","# 
Ave","A","AB","","B","","BC","","C","","D","","F","","S","U","CR","N","","P","","I","NW","NR","Other"
"","Grades
GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"MED SC-M","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","1","***","","","","","","","","","","","","","","","100.0","",".","",".",".",".",".","."
"Senior","6",".","",".","",".","",".","",".","",".","",".",".",".","100.0","",".","",".",".",".",".","."
"Undergraduates","7",".","",".","",".","",".","",".","",".","",".",".",".","100.0","",".","",".",".",".",".","."
"Prof Yr 1","367",".","",".","",".","",".","",".","",".","",".","93.5",".","4.9","",".","",".",".",".",".","1.6"
"Prof Yr 2","357",".","",".","",".","",".","",".","",".","",".","96.6","1.4","0.8","",".","",".",".",".",".","1.1"
"Prof Yr 3","166",".","",".","",".","",".","",".","",".","",".","87.3",".","3.0","",".","",".","1.8",".",".","7.8"
"Prof Yr 4","72",".","",".","",".","",".","",".","",".","",".","100.0",".",".","",".","",".",".",".",".","."
"Professionals","962",".","",".","",".","",".","",".","",".","",".","94.1","0.5","2.7","",".","",".","0.3",".",".","2.4"
