"EDU","","","","","","","","","","","","","","","","","","","",""
"EDUCATIONAL POLICY STUDIES Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","",""
"ED POL
Dept. Total
310","856","3.837","73.9","9.5","4.6","1.2","0.8","0.4","0.2","3.5","",".","0.7","",".","1.9","3.3","0.1",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","",""
"Freshmen","111","3.777","70.3","14.4","9.0","1.8","1.8",".",".",".","",".",".","",".",".","2.7",".",".","."
"Sophomore","148","3.781","75.0","12.2","6.8","1.4","0.7","0.7","0.7",".","",".",".","",".",".","2.7",".",".","."
"Junior","180","3.851","85.0","5.6","3.3","1.1","0.6","1.1","0.6",".","",".",".","",".",".","2.2","0.6",".","."
"Senior","268","3.848","78.4","11.6","4.1","1.5","1.1",".",".",".","",".",".","",".",".","3.4",".",".","."
"Undergraduates","707","3.823","78.1","10.6","5.2","1.4","1.0","0.4","0.3",".","",".",".","",".",".","2.8","0.1",".","."
"Special","10","3.684","40.0","20.0","10.0",".",".",".",".","20.0","",".",".","",".",".","10.0",".",".","."
"Graduate","139","3.963","55.4","2.9","0.7",".",".",".",".","20.1","",".","4.3","",".","11.5","5.0",".",".","."
"Dept. Total","856","3.837","73.9","9.5","4.6","1.2","0.8","0.4","0.2","3.5","",".","0.7","",".","1.9","3.3","0.1",".","."
