"GENETICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"412
GENETICS","","","","","","","","","","","","","","","","","","","",""
"","133","001","138","3.750","68.1","18.1","8.7","2.2","0.7","0.7",".",".",".",".",".",".",".",".","1.4","."
"","133","003","100","3.495","56.0","16.0","16.0","4.0","4.0",".","3.0",".",".",".",".",".",".",".","1.0","."
"Genetics in the News","","Course Total","238","3.643","63.0","17.2","11.8","2.9","2.1","0.4","1.3",".",".",".",".",".",".",".","1.3","."
"","155","001","55","3.855","90.9","3.6","1.8",".","1.8",".","1.8",".",".",".",".",".",".",".",".","."
"","155","002","50","3.860","96.0",".",".",".",".","2.0","2.0",".",".",".",".",".",".",".",".","."
"Freshman Seminar in Genetics","","Course Total","105","3.857","93.3","1.9","1.0",".","1.0","1.0","1.9",".",".",".",".",".",".",".",".","."
"","299","017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","094","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","144","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","146","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399","044","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Principles of Genetics","466","001","191","2.665","20.4","11.5","18.8","4.2","35.6","6.3","3.1",".",".",".",".",".",".",".",".","."
"General Genetics 1","467","001","87","2.805","18.4","18.4","17.2","16.1","21.8","6.9","1.1",".",".",".",".",".",".",".",".","."
"Basic Cytology & Lab Procudure","470","001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Neurogenetics","520","001","55","3.536","54.5","18.2","16.4","5.5","3.6","1.8",".",".",".",".",".",".",".",".",".","."
"","522","001","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","522","002","9","3.833","88.9",".",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Communicating Evolutionary Bio","","Course Total","16","3.888","87.5",".",".","6.3",".",".",".","6.3",".",".",".",".",".",".",".","."
"Epigenetics","525","001","25","3.540","44.0","32.0","16.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"Dev Gen for Conserv Regen","527","001","44","3.830","77.3","11.4","11.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Genetics Laboratory","545","001","13","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".",".",".","7.7","."
"Human Genetics","565","001","44","3.395","27.3","43.2","13.6","6.8","6.8",".",".",".",".",".",".",".",".",".","2.3","."
"Companion Research Seminar","567","001","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".",".",".","7.1","."
"The Female Reproductive System","570","001","8","3.857","75.0",".","12.5",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Clinical Practice I","571","001","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Respiratory System","572","001","8","3.667","50.0","12.5",".","12.5",".",".",".",".",".",".",".",".","25.0",".",".","."
"The Genitourinary System","573","001","8","3.833","62.5",".","12.5",".",".",".",".",".",".",".",".",".","25.0",".",".","."
"Prokaryotic Molecular Biol","612","001","6","3.167","33.3","33.3","16.7",".",".","16.7",".",".",".",".",".",".",".",".",".","."
"Molecular Ecology","624","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Plant Genetics","631","001","39","3.724","79.5",".","12.8","2.6",".",".","2.6","2.6",".",".",".",".",".",".",".","."
"Advanced Topics in Genetics","677","001","42","3.845","90.5","2.4","4.8",".",".",".","2.4",".",".",".",".",".",".",".",".","."
"","681","130","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","132","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","699","011","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","4","***","","","","","","","","","",".",".",".",".",".",".","."
"January 05, 2022","","","","","","","","","","","","","","","","","","","","Page 25 of 464"
