"OPERATIONS & TECHNOLOGY M Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","",""
"","300
001","132","2.981","21.2","18.2","33.3","9.8","11.4","2.3","3.8",".",".",".",".",".",".",".",".","."
"","300
002","132","2.992","14.4","25.0","31.1","9.8","17.4","1.5","0.8",".",".",".",".",".",".",".",".","."
"","300
003","127","3.012","17.3","28.3","26.8","5.5","16.5","5.5",".",".",".",".",".",".",".",".",".","."
"Operations Management","Course Total","391","2.995","17.6","23.8","30.4","8.4","15.1","3.1","1.5",".",".",".",".",".",".",".",".","."
"Principles & Tech-Qual Mgmt","351
001","42","3.738","52.4","42.9","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentls-Supply Chain Mgmt","421
001","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
001","15","3.633","26.7","73.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
002","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Logistics Management","Course Total","26","3.769","53.8","46.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Procurement and Supply Mgmt","423
001","13","3.538","23.1","61.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Database Mngmnt & Applications","001
442","22","3.545","54.5","9.1","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Service Operations Mgmt","451
001","47","3.543","36.2","36.2","27.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Project Management","452
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","453
001","35","3.457","31.4","48.6","11.4","2.9","2.9","2.9",".",".",".",".",".",".",".",".",".","."
"","002
453","24","3.688","45.8","45.8","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Operations Analytics","Course Total","59","3.551","37.3","47.5","10.2","1.7","1.7","1.7",".",".",".",".",".",".",".",".",".","."
"","700
020","46","3.478","28.3","37.0","32.6",".",".",".",".",".",".",".",".",".","2.2",".",".","."
"","700
021","36","3.500","36.1","27.8","36.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Operations Management","Course Total","83","3.482","31.3","32.5","34.9",".",".",".",".",".",".",".",".",".","1.2",".",".","."
"Logistics Management","722
001","25","3.920","84.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Supply Chain Strategy","726
001","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","732
040","16","3.719","56.3","31.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","732
050","56","3.688","62.5","23.2","8.9",".","5.4",".",".",".",".",".",".",".",".",".",".","."
"Economics for Managers","Course Total","72","3.697","61.1","25.0","9.7",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"Service Operations Managmnt","751
001","22","3.886","77.3","22.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","752
001","55","3.636","34.5","58.2","7.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","752
010","44","3.682","47.7","40.9","11.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","011
752","46","3.793","60.9","37.0","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","752
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","752
041","23","3.944","87.0","13.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Project Management","Course Total","169","3.713","52.1","42.0","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Healthcare Ops Mgt","753
055","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managing by Design","760
001","27","3.796","70.4","22.2","3.7","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Sustainable Approaches","770
003","15","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg&Rsch-Operatns&Info Mgmt","799
149","3","***","","","","","","","","","",".",".",".",".",".",".","."
