"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","",""
"Econ Approach Current Issues","100
001","83","3.542","44.6","33.7","13.3","7.2",".",".","1.2",".",".",".",".",".",".",".",".","."
"","101
001","420","3.203","19.3","26.2","32.1","13.8","5.7",".",".",".",".",".",".",".","2.6",".",".","0.2"
"","101
002","400","3.214","22.3","27.8","26.8","19.5","2.3","1.0","0.3",".",".",".",".",".","0.3",".",".","."
"","101
003","438","2.990","19.4","21.9","22.8","19.9","10.5","2.1","2.3",".",".",".",".",".","0.7","0.5",".","."
"","101
004","437","3.128","25.9","25.9","24.0","9.8","8.7","4.1","1.4",".",".",".",".",".","0.2",".",".","."
"","005
101","7","3.417","28.6","42.9",".",".","14.3",".",".",".",".",".",".",".","14.3",".",".","."
"Principles-Microeconomics","Course Total","1702","3.132","21.7","25.4","26.3","15.6","6.9","1.8","1.0",".",".",".",".",".","1.0","0.1",".","0.1"
"","102
001","205","2.953","18.0","17.6","22.9","26.8","9.8","3.4","0.5",".",".",".",".",".","1.0",".",".","."
"","102
002","334","3.573","41.9","37.4","16.2","3.0","1.2","0.3",".",".",".",".",".",".",".",".",".","."
"","102
003","235","3.346","39.1","21.3","21.7","8.5","7.2","1.3","0.4",".",".",".",".",".","0.4",".",".","."
"Principles-Macroeconomics","Course Total","774","3.341","34.8","27.3","19.6","11.0","5.3","1.4","0.3",".",".",".",".",".","0.4",".",".","."
"Prin/Econ-Accelratd Treatmt","001
111","27","3.320","29.6","18.5","25.9","18.5",".",".",".",".",".",".",".",".","7.4",".",".","."
"Quant Tools for Economics","205
001","27","3.212","22.2","37.0","14.8","11.1","7.4","3.7",".",".",".",".",".",".","3.7",".",".","."
"Internship Economics","228
001","6","",".",".",".",".",".",".",".",".",".","83.3",".",".",".",".",".","."
"","300
001","12","3.125","16.7","16.7","41.7","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","002
300","11","2.955","18.2","18.2","27.3","9.1","27.3",".",".",".",".",".",".",".",".",".",".","."
"","300
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","29","2.980","13.8","13.8","27.6","17.2","13.8",".",".",".",".",".",".",".",".",".","13.8","."
"","301
001","178","3.174","27.5","21.3","27.5","15.7","3.4","3.9","0.6",".",".",".",".",".",".",".",".","."
"","301
002","222","3.170","20.7","23.0","27.0","20.7","5.4",".",".",".",".",".",".",".","3.2",".",".","."
"Intmed Microeconomic Theory","Course Total","400","3.172","23.8","22.3","27.3","18.5","4.5","1.8","0.3",".",".",".",".",".","1.8",".",".","."
"","302
001","122","3.029","30.3","19.7","16.4","17.2","8.2","4.1","4.1",".",".",".",".",".",".",".",".","."
"","302
002","160","3.161","11.9","31.3","41.3","8.1","5.0","1.3",".",".",".",".",".",".","0.6",".","0.6","."
"Intmed Macroeconomic Theory","Course Total","282","3.104","19.9","26.2","30.5","12.1","6.4","2.5","1.8",".",".",".",".",".","0.4",".","0.4","."
"Developmnt-Economic Thought","305
001","29","3.278","24.1","13.8","44.8","10.3",".",".",".","3.4",".",".",".",".",".","3.4",".","."
"","306
001","8","2.438","12.5","12.5","12.5",".","50.0","12.5",".",".",".",".",".",".",".",".",".","."
"","306
002","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Real Estate Process","Course Total","18","3.250","55.6","5.6","11.1",".","22.2","5.6",".",".",".",".",".",".",".",".",".","."
"","310
001","136","3.030","22.1","17.6","22.1","20.6","12.5","1.5","0.7",".",".",".",".",".","2.2","0.7",".","."
"","310
002","144","3.024","23.6","16.0","26.4","18.1","11.8","4.2",".",".",".",".",".",".",".",".",".","."
"Stats:Measrmnt in Economics","Course Total","280","3.027","22.9","16.8","24.3","19.3","12.1","2.9","0.4",".",".",".",".",".","1.1","0.4",".","."
"Intmed Microecon-Adv Treatment","311
001","13","3.692","46.2","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","320
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Investment Theory","Course Total","6","2.000","16.7",".","16.7",".","33.3","16.7","16.7",".",".",".",".",".",".",".",".","."
"Money and Banking","001
330","90","3.000","18.9","13.3","23.3","28.9","8.9","1.1",".",".",".",".",".",".","4.4",".","1.1","."
"Economics Poverty Inequality","370
001","28","3.500","50.0","21.4","17.9","7.1",".","3.6",".",".",".",".",".",".",".",".",".","."
"Energy, Resources & Economics","371
001","38","3.355","34.2","23.7","28.9","10.5",".","2.6",".",".",".",".",".",".",".",".",".","."
"","390
001","41","3.110","14.6","26.8","29.3","24.4","4.9",".",".",".",".",".",".",".",".",".",".","."
"January 05, 2022","","","","","","","","","","","","","","","","","","Page 229 of 464",""
