"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","",""
"Financial Reporting II","Course Total","59","3.203","25.4","15.3","39.0","15.3","5.1",".",".",".",".",".",".",".",".",".",".","."
"","310
001","11","3.364","45.5","27.3",".","9.1","18.2",".",".",".",".",".",".",".",".",".",".","."
"","002
310","29","3.362","24.1","41.4","17.2","17.2",".",".",".",".",".",".",".",".",".",".",".","."
"","003
310","29","3.259","34.5","27.6","10.3","17.2","6.9","3.4",".",".",".",".",".",".",".",".",".","."
"Cost Management Systems","Course Total","69","3.319","31.9","33.3","11.6","15.9","5.8","1.4",".",".",".",".",".",".",".",".",".","."
"","340
001","20","3.200","25.0","20.0","35.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","340
002","32","3.328","21.9","37.5","28.1","9.4","3.1",".",".",".",".",".",".",".",".",".",".","."
"","340
003","33","3.288","33.3","12.1","36.4","15.2","3.0",".",".",".",".",".",".",".",".",".",".","."
"","340
004","35","3.271","25.7","22.9","37.1","8.6","5.7",".",".",".",".",".",".",".",".",".",".","."
"Accounting Systems","Course Total","120","3.279","26.7","23.3","34.2","10.8","5.0",".",".",".",".",".",".",".",".",".",".","."
"","406
001","25","3.120","12.0","24.0","40.0","24.0",".",".",".",".",".",".",".",".",".",".",".","."
"","406
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Financial Reporting","Course Total","27","3.111","11.1","22.2","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"","603
001","25","3.700","56.0","28.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","603
002","25","3.540","44.0","20.0","36.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","603
003","29","3.707","51.7","37.9","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Statement Analysis","Course Total","79","3.652","50.6","29.1","20.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
001","26","3.462","38.5","30.8","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","620
002","28","3.241","28.6","10.7","39.3","14.3","3.6",".",".","3.6",".",".",".",".",".",".",".","."
"Fundamentals of Taxation","Course Total","54","3.349","33.3","20.4","31.5","7.4","5.6",".",".","1.9",".",".",".",".",".",".",".","."
"","621
001","8","3.625","62.5","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","621
002","22","3.205","27.3","13.6","36.4","18.2","4.5",".",".",".",".",".",".",".",".",".",".","."
"Corporate & Advanced Taxation","Course Total","30","3.317","36.7","13.3","30.0","16.7","3.3",".",".",".",".",".",".",".",".",".",".","."
"","630
001","40","3.763","72.5","10.0","15.0","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"","630
002","39","3.833","79.5","7.7","12.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Audit and Assurance Services","Course Total","79","3.797","75.9","8.9","13.9","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"","700
020","46","3.533","30.4","47.8","19.6","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"","700
021","36","3.569","36.1","44.4","16.7","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"","700
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","700
040","16","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
050","56","3.723","66.1","25.0","5.4","1.8",".",".","1.8",".",".",".",".",".",".",".",".","."
"Financial Accounting","Course Total","155","3.660","49.7","36.1","11.6","1.9",".",".","0.6",".",".",".",".",".",".",".",".","."
"","701
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","701
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Financial Reporting I","Course Total","6","3.417","33.3","16.7","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Reporting II","702
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","706
001","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","706
002","31","3.629","41.9","41.9","16.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Financial Reporting","Course Total","38","3.632","44.7","36.8","18.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","710
001","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","710
002","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managerial Accounting","Course Total","43","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
