"","CHEMICAL & BIOLOGICAL ENGR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","26","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Intro to Chemical Engineering","150","001","","97","3.778","63.9","27.8","8.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Process Synthesis","250","002","","68","3.088","27.9","14.7","25.0","17.6","11.8","2.9",".",".",".",".",".",".",".",".",".","."
"Intro to Chem Process Modeling","255","001","","51","3.088","25.5","23.5","23.5","9.8","13.7","2.0","2.0",".",".",".",".",".",".",".",".","."
"Chem Process Thermodynamics","310","001","","58","3.052","24.1","19.0","20.7","15.5","20.7",".",".",".",".",".",".",".",".",".",".","."
"Thermodynamics of Mixtures","311","001","","47","3.191","31.9","21.3","21.3","17.0","4.3","2.1","2.1",".",".",".",".",".",".",".",".","."
"Intro Transport Phenomena","320","001","","88","3.131","22.7","21.6","35.2","9.1","6.8","4.5",".",".",".",".",".",".",".",".",".","."
"","324","001","","13","3.308","38.5","7.7","38.5","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","324","002","","12","3.625","58.3","8.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324","003","","7","3.500","42.9","14.3","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324","004","","12","3.500","50.0","8.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Transport Phenomena Lab","","Course Total","","44","3.477","47.7","9.1","36.4","4.5","2.3",".",".",".",".",".",".",".",".",".",".","."
"Momentum&Heat Transfer Oper","326","001","","26","3.077","15.4","34.6","15.4","19.2","15.4",".",".",".",".",".",".",".",".",".",".","."
"Eng Prin Mol, Cells, Tissues","330","001","","6","3.333","50.0","16.7",".","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"Mass Transfer Operations","426","001","","59","2.856","20.3","16.9","15.3","22.0","22.0",".","3.4",".",".",".",".",".",".",".",".","."
"Chem Kinetcs & Reactor Dsgn","430","001","","69","3.072","24.6","24.6","20.3","13.0","13.0","2.9","1.4",".",".",".",".",".",".",".",".","."
"Chemical Engineering Matl","440","001","","39","3.167","20.5","38.5","7.7","25.6","5.1","2.6",".",".",".",".",".",".",".",".",".","."
"Process Design","450","001","","35","3.886","82.9","11.4","5.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Process Dynamics & Control","470","001","","37","3.243","27.0","21.6","29.7","16.2","5.4",".",".",".",".",".",".",".",".",".",".","."
"Honors in Research","489","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Tissue Engineering","510","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Biology in Engineering Seminar","517","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Polymer Sci & Technology","540","001","","33","3.091","21.2","9.1","42.4","21.2","6.1",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Chem Engr Connections","555","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biochemical Engineering","560","001","","11","3.591","54.5","9.1","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562","001","","23","3.957","91.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562","003","","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562","010","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics in ChE","","Course Total","","46","3.950","91.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Solar Energy Technology","567","001","","26","3.288","30.8","38.5","7.7","11.5","7.7","3.8",".",".",".",".",".",".",".",".",".","."
"","599","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","021","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","599","024","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"January 05, 2022","","","","","","","","","","","","","","","","","","","","Page 121 of 464",""
