"TERM : 1222","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2021-2022","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","","","",""
"URBAN AND REGIONAL PLANNI","Section","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","","","","","","","","","","",""
"URB R PL
944","Dept. Total","199","3.807","66.3","23.6","4.5","1.0","",".","",".","",".","2.5","",".",".","",".","",".","2.0",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","12","3.745","66.7","25.0",".","8.3","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","15","3.612","40.0","26.7","20.0",".","",".","",".","",".",".","",".",".","",".","",".","13.3",".",".","."
"Senior","","28","3.663","46.4","35.7","10.7","3.6","",".","",".","",".",".","",".",".","",".","",".","3.6",".",".","."
"Undergraduates","","55","3.670","49.1","30.9","10.9","3.6","",".","",".","",".",".","",".",".","",".","",".","5.5",".",".","."
"Special","","3","***","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","","139","3.879","74.1","20.1","1.4",".","",".","",".","",".","3.6","",".",".","",".","",".","0.7",".",".","."
"Prof Yr 3","","1","***","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 4","","1","***","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Professionals","","2","***","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"","Dept. Total","199","3.807","66.3","23.6","4.5","1.0","",".","",".","",".","2.5","",".",".","",".","",".","2.0",".",".","."
