"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","","",""
"","999
071","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Reading","Course Total","10","4.000","60.0",".",".",".",".",".",".","20.0","",".",".","",".","20.0",".",".",".","."
"SOC WORK
896","Dept. Total","1767","3.781","76.1","11.4","4.3","2.1","1.2","0.3","0.5","1.4","",".",".","",".","0.5","1.9","0.1","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","158","3.674","75.3","7.0","8.9","4.4","3.2",".","1.3",".","",".",".","",".",".",".",".",".","."
"Sophomore","","79","3.217","43.0","16.5","17.7","7.6","8.9","5.1","1.3",".","",".",".","",".",".",".",".",".","."
"Junior","","183","3.516","65.0","13.1","8.2","5.5","3.3","1.1","2.7",".","",".",".","",".",".","0.5",".","0.5","."
"Senior","","309","3.800","75.7","12.0","6.1","2.3","1.0",".","0.3",".","",".",".","",".","0.3","2.3",".",".","."
"Undergraduates","","729","3.628","69.4","11.7","8.5","4.1","2.9","0.8","1.2",".","",".",".","",".","0.1","1.1",".","0.1","."
"Special","","46","3.818","45.7","4.3",".","2.2",".",".",".","37.0","",".",".","",".",".","6.5","4.3",".","."
"Graduate","","992","3.918","82.4","11.5","1.4","0.6","0.1",".",".","0.8","",".",".","",".","0.8","2.3",".","0.1","."
"","Dept. Total","1767","3.781","76.1","11.4","4.3","2.1","1.2","0.3","0.5","1.4","",".",".","",".","0.5","1.9","0.1","0.1","."
