"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"","240
001","117","3.432","25.6","50.4","17.1","3.4","1.7","0.9","0.9",".",".",".",".",".",".",".",".","."
"","240
002","129","3.496","31.0","43.4","17.1","3.1","1.6","0.8",".",".",".",".",".",".","3.1",".",".","."
"","003
240","67","3.477","29.9","41.8","17.9","6.0","1.5",".",".",".",".",".",".",".","3.0",".",".","."
"","240
004","8","3.313","25.0","37.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Data Modeling I","Course Total","321","3.463","28.7","45.5","17.1","4.4","1.6","0.6","0.3",".",".",".",".",".","1.9",".",".","."
"","301
001","117","2.970","23.9","10.3","32.5","14.5","12.8","3.4","1.7",".",".",".",".",".","0.9",".",".","."
"","301
002","125","2.975","28.0","12.8","23.2","12.8","13.6","4.8","2.4",".",".",".",".",".","2.4",".",".","."
"","301
003","108","2.967","30.6","13.0","15.7","15.7","15.7","2.8","3.7",".",".",".",".",".","1.9","0.9",".","."
"","004
301","106","3.335","36.8","33.0","12.3","7.5","5.7","3.8","0.9",".",".",".",".",".",".",".",".","."
"Intro-Statistical Methods","Course Total","456","3.057","29.6","16.9","21.3","12.7","12.1","3.7","2.2",".",".",".",".",".","1.3","0.2",".","."
"","303
001","13","3.615","69.2","7.7","7.7","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","303
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","303
003","80","3.763","76.3","11.3","5.0","3.8","3.8",".",".",".",".",".",".",".",".",".",".","."
"","303
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"R for Statistics I","Course Total","101","3.762","77.2","9.9","5.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","304
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","304
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","304
003","35","3.786","91.4","2.9",".",".",".","2.9","2.9",".",".",".",".",".",".",".",".","."
"","304
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"R for Statistics II","Course Total","46","3.830","89.1","2.2",".",".",".","2.2","2.2","2.2",".",".",".",".",".","2.2",".","."
"","305
001","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","305
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","305
003","17","4.000","94.1",".",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"","305
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"R for Statistics III","Course Total","30","4.000","93.3",".",".",".",".",".",".","3.3",".",".",".",".","3.3",".",".","."
"","309
001","49","3.979","93.9","4.1",".",".",".",".",".",".",".",".",".",".",".",".","2.0","."
"","309
002","52","3.794","82.7","7.7","1.9","1.9","1.9",".","1.9",".",".",".",".",".","1.9",".",".","."
"Intro to Prob & Math Stat I","Course Total","101","3.884","88.1","5.9","1.0","1.0","1.0",".","1.0",".",".",".",".",".","1.0",".","1.0","."
"Intro to Prob & Math Stat II","310
002","42","3.134","26.2","9.5","40.5","16.7","2.4",".","2.4",".",".",".",".",".","2.4",".",".","."
"","311
001","68","3.176","41.2","14.7","17.6","11.8","5.9","7.4","1.5",".",".",".",".",".",".",".",".","."
"","311
002","67","3.104","29.9","11.9","28.4","14.9","11.9","3.0",".",".",".",".",".",".",".",".",".","."
"","003
311","37","3.257","37.8","16.2","24.3","8.1","10.8","2.7",".",".",".",".",".",".",".",".",".","."
"Intro Math Stat (Theo, Meth) I","Course Total","172","3.166","36.0","14.0","23.3","12.2","9.3","4.7","0.6",".",".",".",".",".",".",".",".","."
"Intro Math Stat (Theo,Meth) II","312
001","31","3.183","29.0","19.4","22.6","16.1","6.5","3.2",".",".",".",".",".",".","3.2",".",".","."
"","001
324","135","3.107","25.2","15.6","36.3","8.9","11.9","0.7","1.5",".",".",".",".",".",".",".",".","."
"","002
324","126","3.012","25.4","13.5","34.9","4.8","13.5","6.3","0.8",".",".",".",".",".","0.8",".",".","."
"","003
324","120","2.921","26.7","7.5","28.3","16.7","13.3","5.8","1.7",".",".",".",".",".",".",".",".","."
"Intro Applied Stats for Engrs","Course Total","381","3.017","25.7","12.3","33.3","10.0","12.9","4.2","1.3",".",".",".",".",".","0.3",".",".","."
"Applied Regression Analysis","333
001","52","3.885","92.3","3.8","1.9",".",".",".","1.9",".",".",".",".",".",".",".",".","."
"Intro to Data Modeling II","340
001","158","3.247","31.6","21.5","28.5","10.1","3.8","4.4",".",".",".",".",".",".",".",".",".","."
"","371
001","129","3.062","31.0","10.1","22.5","17.8","16.3","2.3",".",".",".",".",".",".",".",".",".","."
"","371
002","113","3.009","25.7","11.5","28.3","11.5","22.1",".","0.9",".",".",".",".",".",".",".",".","."
"January 05, 2022","","","","","","","","","","","","","","","","","","Page 352 of 464",""
