"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","","",""
"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"","369
003","","19","3.947","94.7",".","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Teaching of Language Arts","Course Total","","39","3.974","97.4",".","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Mathematics","370
001","","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
001","","22","3.773","86.4","9.1",".",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"","371
002","","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
003","","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Social Studies","Course Total","","58","3.879","87.9","10.3",".",".",".",".","1.7",".",".",".",".",".",".",".",".","."
"","372
001","","18","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","372
002","","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Science","Course Total","","36","3.903","80.6","19.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","373
001","","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","373
002","","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","373
003","","22","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","373
004","","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Elem Teaching Practicum III","Course Total","","82","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Teaching Science-Sec Schl","390
001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teach Secondary Schl Math I","393
001","","16","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching of English","396
001","","24","3.896","83.3","12.5","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Pop Inst Mus 1","420
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Game Design II","432
001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Teaching World Lang(6-12)","443
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Tchg Hist&Soc St in HS","459
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sem. in Pre-K Through MS Teach","463
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"EC/ESL Student Teaching","468
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Literacy & Language Developmnt","500
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"CS Education","502
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Strategy-Inclusive Schoolng","506
001","","45","3.933","88.9","8.9","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","507
001","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","507
002","","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","507
003","","28","3.982","96.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Inclusive Education-Secondary","Course Total","","86","3.994","98.8","1.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","511
002","","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","511
003","","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","511
004","","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","511
005","","27","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"School-Based Practicum","Course Total","","85","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Meth&Matl-Early Childhd Ed","550
001","","25","3.960","92.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Crit Perspect on Digital Media","606
001","","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","630
001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
002","","10","3.800","90.0",".",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
