"BOTANY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","","",""
"Plants, Parasites, & People","123","001","98","3.643","59.2","23.5","10.2","3.1","3.1","1.0",".",".",".",".",".",".",".",".",".","."
"General Botany","130","001","102","2.856","26.5","5.9","33.3","2.9","21.6","5.9","2.9",".",".",".",".",".","1.0",".",".","."
"Introductory Biology","151","002","6","2.667","16.7",".","33.3",".","50.0",".",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","152","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Plants and Humans","240","001","65","3.107","27.7","21.5","15.4","10.8","13.8","4.6",".","6.2",".",".",".",".",".",".",".","."
"Introductory Ecology","260","001","26","3.423","42.3","23.1","26.9",".","3.8","3.8",".",".",".",".",".",".",".",".",".","."
"Rainforests and Coral Reefs","265","001","19","3.711","63.2","15.8","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","034","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Botany","","Course Total","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Plant Anatomy","300","001","26","2.620","26.9","7.7","11.5","19.2","11.5","11.5","7.7",".",".",".",".",".",".",".","3.8","."
"Algae","330","001","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Environmental Biogeography","338","001","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Plant Cell Cult. & Genet. Eng.","340","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Grassland Ecology","370","001","57","3.965","96.5","1.8",".","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"Plant Systematics","400","001","43","3.663","62.8","14.0","18.6","2.3","2.3",".",".",".",".",".",".",".",".",".",".","."
"Dendrology","402","001","10","4.000","80.0",".",".",".",".",".",".",".",".",".",".",".","20.0",".",".","."
"Evolutionary Biology","410","001","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Vegetation of Wisconsin","455","001","40","3.406","37.5","7.5","20.0","12.5","2.5",".",".","17.5",".",".",".",".","2.5",".",".","."
"General Ecology","460","001","39","3.256","25.6","33.3","25.6","7.7","5.1",".","2.6",".",".",".",".",".",".",".",".","."
"Ethnobotany","474","001","37","3.647","54.1","27.0","2.7","5.4",".","2.7",".","2.7",".",".",".",".","5.4",".",".","."
"","499","003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","499","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499","030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Directed Research","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Plant Biochemistry","621","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Conservation Biology","651","001","12","3.667","58.3","25.0","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","681","032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Senior Honors Thesis","682","032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","691","012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","030","3","***","","","","","","","","","",".",".",".",".",".",".","."
"January 05, 2022","","","","","","","","","","","","","","","","","","","Page 196 of 464",""
