"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","",""
"ALS","","","","","","","","","","","","","","","","","","","",""
"ALS","College Total","11501","3.493","52.5","15.2","12.1","4.5","4.7","1.2","1.0","4.3","0.0","0.4","",".","2.9","0.8","0.1","0.3","0.1"
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"ALS","","Grades","GPA","","","","","","","","","","","","","","","","",""
"Freshmen","","1352","3.428","55.7","18.0","11.7","6.4","4.1","1.5","2.3",".",".",".","",".",".","0.1",".",".","0.1"
"Sophomore","","1378","3.475","54.9","18.0","13.1","5.5","5.2","1.4","1.0",".",".","0.4","",".","0.1","0.2","0.1",".","0.1"
"Junior","","2470","3.426","52.2","16.0","15.1","5.4","7.1","1.8","1.1","0.0",".","0.5","",".",".","0.7","0.0","0.0","0.0"
"Senior","","4040","3.497","55.4","16.7","13.9","4.8","5.4","1.2","0.8","0.0",".","0.2","",".","0.4","0.7",".","0.3","0.0"
"Undergraduates","","9240","3.465","54.5","16.9","13.8","5.3","5.6","1.4","1.1","0.0",".","0.3","",".","0.2","0.6","0.0","0.2","0.1"
"Special","","340","3.539","51.8","13.5","10.6","5.0","3.8","0.6","1.2","3.8",".",".","",".",".","2.4","1.5","5.9","."
"Graduate","","1904","3.774","43.1","7.1","4.6","0.4","0.3","0.2","0.1","25.1","0.1","0.9","",".","16.3","1.7","0.1","0.1","."
"Prof Yr 2","","5","***","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 3","","11","4.000","36.4",".",".",".",".",".",".","36.4",".",".","",".","27.3",".",".",".","."
"Prof Yr 4","","1","***","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","17","3.833","52.9",".","5.9",".",".",".",".","23.5",".",".","",".","17.6",".",".",".","."
"","College Total","11501","3.493","52.5","15.2","12.1","4.5","4.7","1.2","1.0","4.3","0.0","0.4","",".","2.9","0.8","0.1","0.3","0.1"
