"","AGRICULTURAL AND APPLIED E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","","",""
"Intro to Ag & Applied Econ","215","001","","50","3.000","22.0","28.0","22.0","12.0","6.0","6.0","4.0",".",".",".",".",".",".",".",".","."
"Environment&Global Economy","244","001","","47","3.554","61.7","17.0","6.4","2.1","6.4","4.3",".",".",".",".",".",".",".","2.1",".","."
"The Real Estate Process","306","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Farming Systems Management","320","001","","39","3.410","28.2","41.0","17.9","10.3","2.6",".",".",".",".",".",".",".",".",".",".","."
"Intro to Data Analysis","335","001","","48","3.719","72.9","16.7","4.2","2.1","2.1",".","2.1",".",".",".",".",".",".",".",".","."
"Issues in Food Systems","340","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Global Health: Econ & Policy","352","001","","80","3.425","53.8","26.3","3.8","6.3","3.8","1.3","5.0",".",".",".",".",".",".",".",".","."
"Energy, Resources & Economics","371","001","","16","3.375","25.0","31.3","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Globalizatn, Poverty&Develpmnt","373","001","","27","3.333","22.2","14.8","51.9",".",".",".",".",".",".",".",".",".","7.4",".","3.7","."
"Special Topics","375","001","","19","3.868","84.2","5.3","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Economic Decision Analysis","421","001","","16","3.250","18.8","50.0","12.5","12.5",".","6.3",".",".",".",".",".",".",".",".",".","."
"Latin Amer Economc Develpmt","462","001","","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Econ Grwth&Devlpmnt-SE Asia","473","001","","18","3.056","50.0","5.6","16.7","5.6","5.6","11.1","5.6",".",".",".",".",".",".",".",".","."
"Quant Mthds-Ag & Appl Econ","526","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intellectual Property Rights","540","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Applied Microeconomic Thry","635","001","","21","3.300","23.8","23.8","33.3","14.3",".",".",".",".",".",".",".",".","4.8",".",".","."
"Applied Econometric Anal I","636","001","","27","3.481","51.9","22.2","7.4","11.1",".",".","3.7","3.7",".",".",".",".",".",".",".","."
"Senior Thesis","691","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Seminar Quant & Applied Econ","720","001","","17","3.618","47.1","35.3","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Pract for Applied Economists","724","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Development Economics 2","731","001","","7","3.667","14.3","28.6",".",".",".",".",".",".",".",".",".",".","57.1",".",".","."
"Agricultural Economics 2","747","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","875","001","","9","3.611","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Latin American Area","982","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","073","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","082","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","088","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","089","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","093","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","095","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","097","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","098","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"January 05, 2022","","","","","","","","","","","","","","","","","","","","","Page 1 of 464"
