"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"COMP BIO","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","1","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Junior","8","3.938","75.0","12.5",".",".",".",".",".",".","",".",".","",".","",".","12.5",".",".","."
"Senior","15","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","24","3.980","91.7","4.2",".",".",".",".",".",".","",".",".","",".","",".","4.2",".",".","."
"Special","2","***","","","","","","","","","","",".","",".","",".",".",".","50.0","."
"Graduate","23","",".",".",".",".",".",".",".","82.6","",".",".","",".","","8.7",".",".","8.7","."
"Prof Yr 1","380","3.271","42.1","21.8","15.5","7.9","8.9","3.4","0.3",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","22","4.000","4.5",".",".",".",".",".",".","72.7","",".",".","",".","",".",".",".","22.7","."
"Professionals","402","3.272","40.0","20.6","14.7","7.5","8.5","3.2","0.2","4.0","",".",".","",".","",".",".",".","1.2","."
