"EDU","","","","","","","","","","","","","","","","","","","","","","",""
"ANATOMY & PHYSIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"146
ANAT&PHY","","","","","","","","","","","","","","","","","","","","","","",""
"ANAT&PHY
146","Dept. Total","1095","2.819","28.1","16.5","17.7","10.9","15.3","8.1","3.0","",".","",".",".","",".","",".","0.2",".",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"146
ANAT&PHY","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","23","2.955","17.4","17.4","30.4","17.4","8.7",".","4.3","",".","",".",".","",".","",".",".",".",".","4.3"
"Sophomore","","156","2.512","11.5","12.8","22.4","16.0","21.8","9.0","6.4","",".","",".",".","",".","",".",".",".",".","."
"Junior","","291","2.610","17.2","16.8","20.6","12.4","19.2","9.3","4.1","",".","",".",".","",".","",".","0.3",".",".","."
"Senior","","577","3.075","39.3","18.0","14.7","8.8","11.3","6.8","1.0","",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","1047","2.852","28.6","16.9","17.9","11.1","15.0","7.6","2.8","",".","",".",".","",".","",".","0.1",".",".","0.1"
"Special","","11","2.963","36.4","9.1","18.2","18.2","9.1","9.1",".","",".","",".",".","",".","",".",".",".",".","."
"Graduate","","1","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 1","","36","2.071","13.9","5.6","13.9","2.8","27.8","22.2","11.1","",".","",".",".","",".","",".","2.8",".",".","."
"Professionals","","36","2.071","13.9","5.6","13.9","2.8","27.8","22.2","11.1","",".","",".",".","",".","",".","2.8",".",".","."
"","Dept. Total","1095","2.819","28.1","16.5","17.7","10.9","15.3","8.1","3.0","",".","",".",".","",".","",".","0.2",".",".","0.1"
