"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"Lithography","316
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Video, Perf & Installation Art","318
001","","7","3.714","85.7",".",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Painting I","322
001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ceramics II","324
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Etching","326
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Life Drawing II","332
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","334
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","334
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Wood Working","Course Total","","8","3.931","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Serigraphy","336
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Service Learning in Art","338
001","","14","3.846","64.3","28.6",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Sound Dsgn-Perf/Visual Arts","341
001","","8","2.563","37.5","12.5","12.5",".","12.5",".","25.0",".",".",".",".",".",".",".",".","."
"Watercolor II","342
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","346
001","","16","3.313","31.3","37.5","12.5","12.5",".","6.3",".",".",".",".",".",".",".",".",".","."
"","346
002","","16","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","346
003","","15","3.267","60.0",".","20.0",".","13.3",".","6.7",".",".",".",".",".",".",".",".","."
"","004
346","","15","3.500","46.7","33.3","13.3",".",".","6.7",".",".",".",".",".",".",".",".",".","."
"Basic Graphic Design","Course Total","","62","3.395","40.3","30.6","17.7","3.2","3.2","3.2","1.6",".",".",".",".",".",".",".",".","."
"Intro to Digital Printmaking","002
348","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Glassworking","354
001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stage Lighting I","366
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Set Design I","372
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","376
001","","10","3.650","70.0",".","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","376
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","376
003","","10","3.550","60.0","30.0",".",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"Photography","Course Total","","25","3.480","52.0","20.0","12.0","12.0",".","4.0",".",".",".",".",".",".",".",".",".","."
"Internships in Art","393
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","428
001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","428
002","","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","428
003","","14","3.857","85.7","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Imaging Studio","Course Total","","38","3.895","86.8","7.9","2.6","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"3D Digital Studio I","429
001","","10","3.500","40.0","20.0","10.0",".","10.0",".",".",".",".",".",".",".","20.0",".",".","."
"Graphic Design History","438
001","","41","3.244","29.3","19.5","34.1","4.9","12.2",".",".",".",".",".",".",".",".",".",".","."
"Artists' Books","446
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
002","","13","3.269","46.2","23.1","15.4",".","7.7",".","7.7",".",".",".",".",".",".",".",".","."
"","448
004","","14","3.607","71.4",".","7.1","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"","448
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","448
009","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","56","3.617","78.6","7.1","5.4","5.4","1.8",".","1.8",".",".",".",".",".",".",".",".","."
