"URBAN AND REGIONAL PLANNI","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","","","","","",""
"305
Introduction to the City","001","","31","3.717","61.3","19.4","12.9","3.2",".",".",".",".",".",".",".",".","3.2",".",".","."
"306","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"306","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"The Real Estate Process","Course Total","","3","***","","","","","","","","","","","","","","","",""
"420","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"420","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Urban & Regional Economics","Course Total","","3","***","","","","","","","","","","","","","","","",""
"512
Gentrification & Urb Restruct","001","","16","3.500","6.3","75.0","6.3",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"532
Apps of GIS in Planning","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"550
Transport & Built Environment","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"590
Contemp Topics-Urb & Reg Pl","002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"601
Site Planning","001","","22","3.659","36.4","59.1","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"721
Methods-Planning Analysis","001","","19","3.737","52.6","42.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"741
Introduction to Planning","001","","25","4.000","96.0",".",".",".",".",".",".",".",".",".",".",".","4.0",".",".","."
"751
Intro to Financial Planning","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"809
Intro-Energy Analysis & Policy","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"912
Planning Workshop","001","","14","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"999","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","","4","***","","","","","","","","","","","","","","","",""
