"EDU","","","","","","","","","","","","","","","","","","","",""
"ED LEADERSHP & POLICY ANAL Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","",""
"ELPA
Dept. Total
305","597","3.910","73.9","5.7","2.3","0.2","0.2","",".","0.3","11.6","0.2",".","",".","1.7","3.5","0.5",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","",""
"Senior","5","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Undergraduates","5","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Special","15","4.000","93.3",".",".",".",".","",".",".","6.7",".",".","",".",".",".",".",".","."
"Graduate","570","3.914","72.8","6.0","2.5","0.2","0.2","",".","0.2","11.9","0.2","0.2","",".","1.8","3.7","0.5",".","."
"Prof Yr 2","3","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 3","5","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","8","4.000","100.0",".",".",".",".","",".",".",".",".",".","",".",".",".",".",".","."
"Dept. Total","598","3.910","73.7","5.7","2.3","0.2","0.2","",".","0.3","11.5","0.2","0.2","",".","1.7","3.5","0.5",".","."
