"MEDICAL SCIENCES - VET MED","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","",""
"Production Medicine II","703
001","13","4.000","7.7",".",".",".",".",".",".","92.3",".",".",".",".",".",".",".","."
"","775
001","62","",".",".",".",".",".",".",".","95.2",".",".",".",".",".",".","4.8","."
"","775
002","31","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","775
003","18","",".",".",".",".",".",".",".","94.4",".",".",".",".",".",".","5.6","."
"","775
004","9","",".",".",".",".",".",".",".","88.9",".",".",".",".",".",".","11.1","."
"","775
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","775
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","122","",".",".",".",".",".",".",".","95.9",".",".",".",".",".",".","4.1","."
