"COMPARATIVE BIOSCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"934
COMP BIO","","","","","","","","","","","","","","","","","","","",""
"500
Fund Principles-Vet Anatomy","001","","95","3.374","48.4","16.8","13.7","5.3","14.7","1.1",".",".",".",".",".",".",".",".",".","."
"501
Veterinary Histology","001","","95","3.126","30.5","24.2","17.9","13.7","5.3","7.4","1.1",".",".",".",".",".",".",".",".","."
"503
Veterinary Develomntl Anat","001","","95","3.679","63.2","20.0","9.5","4.2","3.2",".",".",".",".",".",".",".",".",".",".","."
"551
Veterinary Physiology A","001","","95","3.121","26.3","26.3","21.1","8.4","12.6","5.3",".",".",".",".",".",".",".",".",".","."
"675
Special Topics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","26","3.981","92.3","3.8",".",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"775","001","","14","",".",".",".",".",".",".",".","78.6",".",".",".",".",".",".","21.4","."
"775","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"775","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","21","",".",".",".",".",".",".",".","76.2",".",".",".",".",".",".","23.8","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","21","",".",".",".",".",".",".",".","90.5",".",".",".","9.5",".",".",".","."
