"CONSUMER SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","",""
"Finc'l Life Skills Undergrads","111
001","129","3.764","79.1","8.5","6.2","3.1","0.8","2.3",".",".",".",".",".",".",".",".",".","."
"Consuming Happiness","173
001","113","3.752","70.8","17.7","4.4","2.7","1.8",".","0.9",".",".",".",".",".","0.9",".","0.9","."
"","201
001","142","3.632","62.7","17.6","8.5","5.6","2.1","2.1",".",".",".",".",".",".","1.4",".",".","."
"","201
002","51","3.940","88.2","7.8","2.0",".",".",".",".",".",".",".",".",".","2.0",".",".","."
"Consumer Insights","Course Total","193","3.713","69.4","15.0","6.7","4.1","1.6","1.6",".",".",".",".",".",".","1.6",".",".","."
"Retail Leadership Symposium","250
001","118","3.843","86.4","5.1","5.1","0.8","1.7",".","0.8",".",".",".",".",".",".",".",".","."
"Finc'l Svcs Leadership Sympos","001
251","109","3.693","72.5","11.9","9.2","1.8","2.8",".","1.8",".",".",".",".",".",".",".",".","."
"Introduction to Retail","257
001","146","3.640","66.4","17.8","6.8","3.4","2.1","2.7","0.7",".",".",".",".",".",".",".",".","."
"Finances & Families","273
001","43","3.733","65.1","23.3","7.0","2.3","2.3",".",".",".",".",".",".",".",".",".",".","."
"","001
275","84","3.280","22.6","44.0","14.3","10.7","2.4","1.2","2.4","2.4",".",".",".",".",".",".",".","."
"","275
002","110","3.300","20.9","47.3","18.2","7.3","2.7","2.7","0.9",".",".",".",".",".",".",".",".","."
"Consumer Finance","Course Total","194","3.292","21.6","45.9","16.5","8.8","2.6","2.1","1.5","1.0",".",".",".",".",".",".",".","."
"","301
001","17","3.500","47.1","17.6","29.4",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","002
301","29","3.224","34.5","31.0","10.3","13.8","3.4","3.4","3.4",".",".",".",".",".",".",".",".","."
"Consumer Analytics","Course Total","46","3.326","39.1","26.1","17.4","8.7","4.3","2.2","2.2",".",".",".",".",".",".",".",".","."
"Finc'l Life Skills After Grad","321
001","189","3.878","91.0","4.8","1.1","0.5","1.1","0.5","1.1",".",".",".",".",".",".",".",".","."
"Financial Assets & Capability","340
001","47","3.787","80.9","12.8","2.1",".","2.1",".","2.1",".",".",".",".",".",".",".",".","."
"Financial Coaching","355
001","58","3.897","84.5","10.3","5.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Consumer and the Market","477
001","44","3.523","52.3","22.7","9.1","11.4",".",".","2.3",".",".",".",".",".","2.3",".",".","."
"Consumer Strategy & Evaluation","555
001","79","3.861","74.7","22.8","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Engagement Strategies","001
561","43","3.686","69.8","16.3","2.3","9.3",".","2.3",".",".",".",".",".",".",".",".",".","."
"The Global Consumer","562
001","47","3.685","53.2","29.8","12.8","2.1",".",".",".",".",".",".",".",".","2.1",".",".","."
"","001
564","48","3.281","39.6","14.6","22.9","12.5","8.3","2.1",".",".",".",".",".",".",".",".",".","."
"","564
002","49","3.214","28.6","32.7","18.4","10.2","2.0","8.2",".",".",".",".",".",".",".",".",".","."
"Retail Financial Analysis","Course Total","97","3.247","34.0","23.7","20.6","11.3","5.2","5.2",".",".",".",".",".",".",".",".",".","."
"Product Development Strategies","001
567","58","3.789","70.7","19.0","5.2","1.7","1.7",".",".",".",".",".",".",".","1.7",".",".","."
"Consumer Policy","579
001","36","3.403","33.3","36.1","16.7","11.1",".","2.8",".",".",".",".",".",".",".",".",".","."
"Consumer Science Internship","601
001","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Retailing Internship","603
015","22","3.800","72.7","9.1",".","9.1",".",".",".",".",".",".",".",".","9.1",".",".","."
"","627
001","38","3.263","26.3","28.9","18.4","23.7","2.6",".",".",".",".",".",".",".",".",".",".","."
"","627
002","36","3.472","36.1","36.1","16.7","8.3","2.8",".",".",".",".",".",".",".",".",".",".","."
"Advanced Consumer Finance","Course Total","74","3.365","31.1","32.4","17.6","16.2","2.7",".",".",".",".",".",".",".",".",".",".","."
"Estate Plng for Fincl Planners","635
001","31","3.661","51.6","35.5","6.5","6.5",".",".",".",".",".",".",".",".",".",".",".","."
"","657
001","61","3.664","67.2","16.4","3.3","8.2","4.9",".",".",".",".",".",".",".",".",".",".","."
"","657
002","60","3.917","85.0","13.3","1.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","121","3.789","76.0","14.9","2.5","4.1","2.5",".",".",".",".",".",".",".",".",".",".","."
"","001
665","11","3.091","18.2","45.5","18.2","9.1",".",".","9.1",".",".",".",".",".",".",".",".","."
"","665
002","39","3.487","41.0","25.6","23.1","10.3",".",".",".",".",".",".",".",".",".",".",".","."
"Household Risk Management","Course Total","50","3.400","36.0","30.0","22.0","10.0",".",".","2.0",".",".",".",".",".",".",".",".","."
"Independent Study","699
077","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 05, 2022","","","","","","","","","","","","","","","","","","Page 163 of 464",""
