"THEATRE AND DRAMA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"Intro-Theatre & Dramatic Lit","120
001","190","3.869","87.4","7.9","1.1","1.6","0.5","0.5","0.5",".",".",".",".",".","0.5",".",".","."
"Fund of Theatrical Design","130
001","18","3.333","61.1","16.7",".","5.6","5.6","5.6","5.6",".",".",".",".",".",".",".",".","."
"Voice1 Effective Communication","140
001","14","3.269","64.3","7.1","7.1",".",".",".","14.3",".",".",".",".",".","7.1",".",".","."
"","150
001","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
002","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
150","16","3.781","81.3","6.3","6.3",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","150
004","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
005","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
006","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
007","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
008","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acting I: Intro to Acting","Course Total","101","3.926","91.1","5.0","3.0",".","1.0",".",".",".",".",".",".",".",".",".",".","."
"Technical Theatre Fundamentals","160
001","25","3.740","72.0","16.0","4.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","162
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","162
002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","162
003","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Backstage Experience","Course Total","23","3.935","91.3","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","200
001","30","3.804","73.3","6.7","10.0","3.3",".",".",".",".",".",".",".",".",".","6.7",".","."
"","200
002","30","3.767","76.7","6.7","10.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","200
003","30","3.633","80.0",".","6.7","6.7","3.3",".","3.3",".",".",".",".",".",".",".",".","."
"","004
200","30","3.780","66.7","10.0","3.3",".",".","3.3",".",".",".",".",".",".","3.3",".","13.3","."
"Acting Skills for Life","Course Total","120","3.743","74.2","5.8","7.5","4.2","0.8","0.8","0.8",".",".",".",".",".","0.8","1.7","3.3","."
"Scenic Studio Practicum","220
001","10","3.889","80.0",".","10.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Costume Studio Practicum","221
001","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Light & Sound Studio Practicum","222
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
001","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
002","8","3.375","75.0",".","12.5",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"Fundamentals of Acting","Course Total","21","3.643","71.4","14.3","9.5",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"Directed Study","299
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fundamentals-Movemnt for Stage","342
001","10","3.946","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acting Realism","350
001","10","3.800","90.0",".",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","352
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","352
002","7","3.714","71.4","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Auditioning for Stage & Screen","Course Total","13","3.846","84.6","7.7",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Theatre-Cultrl&Soc Aware","357
001","15","3.786","53.3","40.0",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","360
101","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
102","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","360
201","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
202","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Performance in Practice","Course Total","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Backstage Laboratory II","361
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 05, 2022","","","","","","","","","","","","","","","","","","Page 114 of 464",""
