"COUNSELING PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","",""
"","115
002","12","3.708","66.7","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","115
011","16","2.625","25.0","6.3","18.8","18.8","12.5","12.5","6.3",".",".",".",".",".",".",".",".","."
"","115
012","12","3.750","83.3",".",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","115
013","17","3.382","64.7","17.6","5.9",".",".",".","11.8",".",".",".",".",".",".",".",".","."
"","115
014","18","3.611","66.7","5.6","16.7","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","115
015","34","3.294","50.0","2.9","26.5","14.7",".","2.9","2.9",".",".",".",".",".",".",".",".","."
"","115
016","20","3.025","40.0",".","25.0","15.0","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"","115
021","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","022
115","11","3.773","72.7","9.1","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
023","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
024","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
031","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
032","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
033","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
034","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
051","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
053","6","2.750",".","16.7","16.7","16.7","16.7",".",".",".",".",".",".",".",".","33.3",".","."
"","115
056","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Dev: Ed Effectiveness","Course Total","224","3.529","64.7","7.1","12.9","7.1","2.7","2.2","1.8",".",".",".",".",".","0.4","0.9",".","."
"Art/Sci of Human Flourishing","120
001","33","3.656","45.5","39.4","9.1","3.0",".",".",".",".",".",".",".",".","3.0",".",".","."
"","125
001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
002","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
125","15","3.567","73.3","6.7","13.3",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","125
004","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
005","15","3.833","86.7",".","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","125
006","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
007","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
008","18","3.889","83.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
009","13","3.654","53.8","38.5",".",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","125
010","12","3.583","75.0","16.7",".",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","125
011","8","3.563","75.0",".",".","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"","125
012","10","3.450","80.0",".",".","10.0",".",".","10.0",".",".",".",".",".",".",".",".","."
"","125
013","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
015","9","3.667","66.7","22.2",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","125
016","20","3.700","65.0","15.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","125
017","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","125
018","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
019","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
020","14","3.536","78.6","7.1",".",".","7.1",".","7.1",".",".",".",".",".",".",".",".","."
"","125
021","7","3.917","71.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","14.3","."
"","125
022","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
023","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
024","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 05, 2022","","","","","","","","","","","","","","","","","","","Page 85 of 464"
