"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"Data Sci Prgmg I - Research","Course Total","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","320
001","157","3.304","36.9","29.9","14.6","11.5","0.6","1.9","3.8",".",".",".",".",".","0.6",".",".","."
"","320
002","165","3.288","37.6","27.3","12.1","12.7","3.0","4.8","1.2",".","0.6",".",".",".","0.6",".",".","."
"Data Sci Programming II","Course Total","322","3.296","37.3","28.6","13.4","12.1","1.9","3.4","2.5",".","0.3",".",".",".","0.6",".",".","."
"","352
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","352
002","7","2.857","28.6",".","28.6",".","42.9",".",".",".",".",".",".",".",".",".",".","."
"Digital System Fundamentals","Course Total","8","2.938","25.0","12.5","25.0",".","37.5",".",".",".",".",".",".",".",".",".",".","."
"","354
001","117","3.017","24.8","20.5","26.5","12.0","9.4","2.6","4.3",".",".",".",".",".",".",".",".","."
"","354
002","144","3.035","29.2","22.2","17.4","12.5","9.0","5.6","3.5",".",".",".",".",".","0.7",".",".","."
"","354
003","102","3.152","25.5","25.5","25.5","14.7","4.9","1.0","2.9",".",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","Course Total","363","3.062","26.7","22.6","22.6","12.9","8.0","3.3","3.6",".",".",".",".",".","0.3",".",".","."
"Learn a Programming Language","368
001","76","",".",".",".",".",".",".",".",".",".","93.4","6.6",".",".",".",".","."
"","400
001","157","3.379","41.4","22.3","23.6","5.1","5.1","0.6","1.9",".",".",".",".",".",".",".",".","."
"","400
002","154","3.218","35.7","15.6","33.1","5.8","3.9","2.6","3.2",".",".",".",".",".",".",".",".","."
"","400
003","142","3.275","38.7","16.9","26.8","5.6","8.5","2.1","1.4",".",".",".",".",".",".",".",".","."
"","400
004","134","3.160","27.6","20.9","27.6","10.4","6.7","3.0","1.5",".",".",".",".",".","1.5",".","0.7","."
"","010
400","43","3.663","60.5","14.0","23.3","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"Programming III","Course Total","630","3.289","37.8","18.6","27.5","6.3","5.6","1.9","1.9",".",".",".",".",".","0.3",".","0.2","."
"Introducing Comp Sci to K-12","402
001","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internship Class CS & Data Sci","403
001","19","3.632","57.9","31.6","5.3",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"Found of Mobl Systms&Applctns","407
001","196","3.319","26.5","31.6","24.0","16.8",".","1.0",".",".",".",".",".",".",".",".",".","."
"Intro to Numerical Methods","412
001","53","2.689","22.6","13.2","20.8","15.1","15.1","1.9","11.3",".",".",".",".",".",".",".",".","."
"Intro-Combinatrl Optimizatn","425
001","24","3.292","45.8","12.5","25.0","4.2","4.2","8.3",".",".",".",".",".",".",".",".",".","."
"Introduction to Cryptography","435
001","116","3.241","28.4","19.0","32.8","14.7","0.9","1.7","0.9","0.9",".",".",".",".","0.9",".",".","."
"","475
001","10","3.444","40.0","10.0","30.0","10.0",".",".",".",".",".",".",".",".","10.0",".",".","."
"","475
002","15","3.033","46.7","13.3","6.7","6.7","13.3","6.7","6.7",".",".",".",".",".",".",".",".","."
"","475
003","7","2.500","28.6","14.3","14.3",".","14.3","14.3","14.3",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","Course Total","32","3.032","40.6","12.5","15.6","6.3","9.4","6.3","6.3",".",".",".",".",".","3.1",".",".","."
"CS Education","502
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Software Engineering","506
001","124","3.435","37.9","33.9","17.7","3.2","5.6","0.8","0.8",".",".",".",".",".",".",".",".","."
"","514
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","002
514","9","2.556","22.2","11.1","22.2","11.1","11.1","11.1","11.1",".",".",".",".",".",".",".",".","."
"Numerical Analysis","Course Total","14","2.929","35.7","14.3","14.3","14.3","7.1","7.1","7.1",".",".",".",".",".",".",".",".","."
"Wearable Technology","518
001","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Optimization","001
524","38","3.197","36.8","23.7","13.2","10.5","7.9","7.9",".",".",".",".",".",".",".",".",".","."
"Linear Optimization","525
001","23","3.152","26.1","21.7","34.8","8.7",".","8.7",".",".",".",".",".",".",".",".",".","."
"","532
001","74","3.681","63.5","14.9","13.5","4.1",".","1.4",".","1.4",".",".",".",".","1.4",".",".","."
"","532
002","36","3.606","41.7","30.6","16.7","2.8",".",".",".","8.3",".",".",".",".",".",".",".","."
"","532
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Mtrx Mthds in Machine Learning","Course Total","111","3.660","56.8","19.8","14.4","3.6",".","0.9",".","3.6",".",".",".",".","0.9",".",".","."
