"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"HEC","","","","","","","","","","","","","","","","","","","",""
"DESIGN STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","","",""
"","101","001","16","4.000","93.8",".",".",".",".",".",".",".",".",".",".",".",".",".",".","6.3"
"","101","002","15","3.400","40.0","33.3","13.3","6.7",".","6.7",".",".",".",".",".",".",".",".",".","."
"Introduction to Textile Design","","Course Total","31","3.700","67.7","16.1","6.5","3.2",".","3.2",".",".",".",".",".",".",".",".",".","3.2"
"Design: Fundamentals I","120","001","138","3.688","65.2","22.5","5.1","1.4","2.2","0.7","1.4",".",".",".",".",".","0.7",".",".","0.7"
"Sewn Construction I","153","001","44","3.430","34.1","29.5","27.3",".","6.8",".",".",".",".",".",".",".",".",".",".","2.3"
"Fashion Illustration","210","001","16","3.433","43.8","31.3","12.5",".",".",".","6.3",".",".",".",".",".","6.3",".",".","."
"Person & Environ Interactions","221","001","143","3.071","30.1","13.3","30.8","6.3","13.3","1.4","3.5","1.4",".",".",".",".",".",".",".","."
"Interior Design I","222","001","28","3.839","82.1","7.1","7.1","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"Interior Architect Design","223","001","31","3.717","48.4","41.9","6.5",".",".",".",".",".",".",".",".",".",".",".",".","3.2"
"Materials and Finishes","224","001","29","3.879","82.8","10.3","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Design: Weaving I","229","001","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","241","002","14","3.607","71.4","21.4",".",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","241","003","15","3.567","66.7","20.0","6.7",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"Visual Communication I","","Course Total","29","3.586","69.0","20.7","3.4",".",".",".","6.9",".",".",".",".",".",".",".",".","."
"Design Leadership Symposium","252","001","93","3.656","73.1","11.8","4.3","5.4","2.2","1.1","2.2",".",".",".",".",".",".",".",".","."
"Patternmaking-Apparel Design","253","002","14","2.821","35.7","21.4","7.1",".","14.3","14.3","7.1",".",".",".",".",".",".",".",".","."
"Dimensions-Material Culture","264","001","13","3.364","23.1","30.8","23.1",".","7.7",".",".","7.7",".",".",".",".","7.7",".",".","."
"Cloth to Clothing","319","001","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dsgn-Manual/Comptr Gen Imagery","327","001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341","001","28","3.929","92.9","3.6",".","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","341","002","29","3.948","93.1","3.4","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Design Thinking","","Course Total","57","3.939","93.0","3.5","1.8","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"Hist of Arch. & Interiors II","422","001","31","3.879","74.2","16.1","3.2",".",".",".",".",".",".",".",".",".","3.2",".",".","3.2"
"Textile Design: Weaving II","429","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"History of Textiles","430","001","41","3.800","78.0","14.6","2.4",".",".",".","2.4","2.4",".",".",".",".",".",".",".","."
"Color Theory and Technology","451","001","28","3.160","25.0","32.1","14.3","10.7",".",".","7.1",".",".",".",".",".","10.7",".",".","."
"","501","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","501","002","12","3.850","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","003","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","23","3.860","78.3","17.4","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wearable Technology","518","001","10","3.350","60.0","10.0","10.0",".","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"Experimental Textile Design","528","001","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile:Spec & End Use Anal","561","001","41","3.634","46.3","39.0","9.8","4.9",".",".",".",".",".",".",".",".",".",".",".","."
"Internship","601","001","11","3.818","81.8",".","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interior Design III","622","001","31","3.733","51.6","38.7","6.5",".",".",".",".",".",".",".",".",".",".",".",".","3.2"
"Interior Design V","626","001","25","3.940","88.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","690","032","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","008","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
