"L&S","","","","","","","","","","","","","","","","","","","","",""
"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","","",""
"CHEM
224","Dept. Total","7257","3.065","31.2","13.5","21.3","9.2","12.3","3.9","1.4","6.0","",".",".","",".","0.1","0.7",".","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1943","2.891","21.3","14.4","26.7","12.6","15.9","6.8","1.5",".","",".",".","",".",".","0.9",".",".","."
"Sophomore","","1942","3.143","34.6","14.3","21.7","8.9","13.7","4.1","1.6","0.1","",".",".","",".",".","1.1",".",".","."
"Junior","","1391","3.022","28.0","15.4","24.4","11.1","15.5","3.2","1.9",".","",".",".","",".",".","0.6",".",".","."
"Senior","","926","3.160","37.3","14.7","22.0","9.6","10.6","2.8","1.8",".","",".",".","",".","0.6","0.3",".","0.2","."
"Undergraduates","","6202","3.032","29.3","14.6","23.9","10.6","14.3","4.5","1.7","0.0","",".",".","",".","0.1","0.8",".","0.0","."
"Special","","27","2.925","33.3","7.4","18.5","3.7","14.8","7.4",".","7.4","",".",".","",".",".",".",".","7.4","."
"Graduate","","1292","3.720","54.3","5.3","4.6","0.6","0.1",".",".","33.3","",".",".","",".","0.2","0.2",".","1.5","."
"Prof Yr 3","","2","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","2","***","","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","7523","3.065","33.6","13.0","20.6","8.9","11.9","3.8","1.4","5.8","",".",".","",".","0.1","0.7",".","0.3","."
