"Summary by Level","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"PSYCHIAT","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Junior","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special","","83","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"Prof Yr 2","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 4","","61","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Professionals","","62","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
