"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","",""
"VET","","","","","","","","","","","","","","","","","","","","",""
"VET","College Total","3296","3.501","41.8","7.9","9.1","2.0","2.1","0.6","0.1","34.5","",".",".","",".","0.6","0.2",".","1.1","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"VET","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"Freshmen","","4","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","","15","3.500","60.0","6.7","20.0",".",".",".","6.7",".","",".",".","",".",".",".",".","6.7","."
"Junior","","39","3.546","64.1","10.3","15.4",".","5.1","2.6",".",".","",".",".","",".",".","2.6",".",".","."
"Senior","","75","3.510","68.0","2.7","13.3","1.3","4.0","4.0","1.3",".","",".",".","",".",".","1.3",".","4.0","."
"Undergraduates","","133","3.514","66.2","5.3","14.3","0.8","3.8","3.0","2.3",".","",".",".","",".",".","1.5",".","3.0","."
"Special","","26","3.925","26.9","3.8",".",".",".",".",".","65.4","",".",".","",".",".",".",".","3.8","."
"Graduate","","91","4.000","35.2",".",".",".",".",".",".","42.9","",".",".","",".","19.8",".",".","2.2","."
"Prof Yr 1","","531","3.321","51.2","15.8","11.3","5.6","6.4","2.4","0.2","7.0","",".",".","",".",".",".",".",".","."
"Prof Yr 2","","847","3.690","57.6","12.3","11.7","2.6","0.6",".",".","15.1","",".",".","",".","0.1",".",".",".","."
"Prof Yr 3","","838","3.318","20.6","7.9","14.6","1.4","3.0","0.1",".","52.3","",".",".","",".",".","0.1",".",".","."
"Prof Yr 4","","928","3.989","34.2",".",".",".",".","0.1",".","62.2","",".",".","",".",".","0.3",".","3.2","."
"Professionals","","3144","3.495","39.8","8.1","8.9","2.0","2.0","0.5","0.0","37.5","",".",".","",".","0.0","0.1",".","1.0","."
"","College Total","3394","3.501","40.6","7.7","8.8","1.9","2.0","0.6","0.1","36.4","",".",".","",".","0.6","0.2",".","1.1","."
