"AMERICAN INDIAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","",""
"Intro-Amer Indian Studies","100
001","220","3.547","46.4","28.6","13.2","5.9","2.3","0.5","0.5","0.5",".",".",".",".","0.5",".","1.8","."
"Literatures of Native America","172
001","24","3.848","79.2","8.3","4.2","4.2",".",".",".","4.2",".",".",".",".",".",".",".","."
"Indians of Wisconsin","250
001","34","3.823","70.6","8.8","11.8",".",".",".",".","8.8",".",".",".",".",".",".",".","."
"IndigenousPeoples&Environment","306
001","53","3.774","67.9","24.5","3.8","1.9","1.9",".",".",".",".",".",".",".",".",".",".","."
"American Indian Communities","330
001","17","3.794","88.2",".",".","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"Native North Amer Nat Res Mgmt","345
001","10","3.400","30.0","30.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","450
008","12","3.500","33.3","33.3","8.3",".","8.3",".",".",".",".",".",".",".",".",".","16.7","."
"","450
077","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Issues in Amer Ind Studies","Course Total","13","3.500","30.8","30.8","7.7",".","7.7",".",".",".",".",".",".",".",".",".","23.1","."
"Ethnobotany","474
001","12","3.455","41.7","16.7","16.7","16.7",".",".",".",".",".",".",".",".","8.3",".",".","."
"AMER IND
140","Dept. Total","383","3.625","54.3","23.5","11.0","5.0","2.1","0.3","0.3","1.3",".",".",".",".","0.5",".","1.8","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","",""
"Freshmen","","126","3.568","46.0","30.2","15.1","6.3","1.6",".",".",".",".",".",".",".","0.8",".",".","."
"Sophomore","","111","3.626","58.6","24.3","9.9","3.6","1.8","0.9","0.9",".",".",".",".",".",".",".",".","."
"Junior","","76","3.711","65.8","19.7","7.9","3.9","2.6",".",".",".",".",".",".",".",".",".",".","."
"Senior","","54","3.596","55.6","18.5","11.1","7.4","3.7",".",".",".",".",".",".",".","1.9",".","1.9","."
"Undergraduates","","367","3.620","55.3","24.5","11.4","5.2","2.2","0.3","0.3",".",".",".",".",".","0.5",".","0.3","."
"Special","","11","",".",".",".",".",".",".",".","45.5",".",".",".",".",".",".","54.5","."
"Graduate","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total","383","3.625","54.3","23.5","11.0","5.0","2.1","0.3","0.3","1.3",".",".",".",".","0.5",".","1.8","."
