"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"Field Prac/Integrat Smr III","Course Total","157","3.933","84.1","7.0","1.9","0.6",".",".",".",".",".",".",".","3.2","2.5",".","0.6","."
"Soc Work Prac in Schools I","815
030","33","3.935","84.8","6.1","3.0",".",".",".",".",".",".",".",".",".","6.1",".",".","."
"Soc Wrk Practicum Schools I","816
030","18","",".",".",".",".",".",".",".","94.4",".",".",".",".","5.6",".",".","."
"","821
001","23","3.935","87.0","13.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","821
011","3","***","","","","","","","","","",".",".",".",".",".",".","."
"SW Pract. in Aging & MH","Course Total","26","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","835
001","20","3.925","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","835
002","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","835
011","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","835
012","12","3.792","75.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Soc Work Pract-Mental Hlth","Course Total","56","3.929","89.3","7.1","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mental Hlth Policies&Services","836
010","24","3.896","79.2","20.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
001","19","3.684","36.8","63.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
002","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
003","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Macro Practice","Course Total","52","3.827","65.4","34.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","873
001","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","873
011","14","3.679","71.4","14.3",".","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Soc Work Practice in Hlth Care","Course Total","31","3.839","83.9","9.7",".","3.2","3.2",".",".",".",".",".",".",".",".",".",".","."
"","875
001","23","3.913","82.6","17.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875
010","8","3.625","62.5","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth, Aging, Disably Pol&Serv","Course Total","31","3.839","77.4","16.1","3.2","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"Prevention Science","880
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","920
001","22","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","920
010","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chld, Youth, Fam Pol&Services","Course Total","36","3.889","80.6","16.7","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Child Welfare","921
001","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Faculty Research Seminar","946
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Proseminar","948
001","16","3.731","43.8","31.3","6.3",".",".",".",".",".",".",".",".",".","18.8",".",".","."
"PhD Proseminar","950
001","18","3.700","11.1","16.7",".",".",".",".",".",".",".",".",".",".","72.2",".",".","."
"","990
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
040","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
050","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis-Research","Course Total","7","",".",".",".",".",".",".",".","85.7",".",".",".","14.3",".",".",".","."
"","999
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
031","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
042","4","***","","","","","","","","","",".",".",".",".",".",".","."
"January 05, 2022","","","","","","","","","","","","","","","","","","Page 342 of 464",""
