"MECHANICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"444
Design Problems-Elasticity","001","","10","3.650","50.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"446
Automatic Controls","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"447","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"447","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"447","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"447","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Comptr Cntrl-Machns&Process","Course Total","","10","3.667","60.0","20.0",".",".","10.0",".",".",".",".",".",".",".",".","10.0",".","."
"450
Design&Dynamics of Vehicles","001","","18","3.353","38.9","27.8","11.1","5.6","5.6","5.6",".","5.6",".",".",".",".",".",".",".","."
"461
Thermal Systems Modeling","001","","10","3.300","10.0","40.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"466
Air Pollutn-Measure&Control","001","","9","3.333","33.3","22.2","33.3",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"476
Engr Princpl Off-Road Vehicles","001","","11","3.000",".","36.4","36.4","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"489","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","","4","***","","","","","","","","","","","","","","","",""
"491","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"491","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"491","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"491","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","050","","9","3.587","66.7","11.1","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Mech Engr Projects I","Course Total","","18","3.774","83.3","5.6","5.6",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"492","005","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"492","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"492","050","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"492","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Mech Engr Projects II","Course Total","","14","3.906","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"508","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"508","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"508","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"508","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Composite Materials","Course Total","","10","3.944","80.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","10.0","."
"512
Inspectn,Qual Cntrl&Relblty","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"545
Fluid Power","001","","9","2.889","33.3",".","11.1","22.2","33.3",".",".",".",".",".",".",".",".",".",".","."
"563
Intermediate Fluid Dynamics","001","","15","3.633","46.7","33.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"564
Heat Transfer","001","","29","3.536","37.9","27.6","31.0",".",".",".",".","3.4",".",".",".",".",".",".",".","."
"566
Cryogenics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"572
Intermediate Gas Dynamics","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"573
Computational Fluid Dynamcs","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"577
Automatic Controls Lab","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"601","001","","44","3.295","9.1","40.9","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
