"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Microelectronic Devices","335
001","42","3.073","26.2","14.3","26.2","14.3","14.3","2.4",".",".",".",".",".",".",".",".",".","2.4"
"Electronic Circuits I","340
001","45","2.930","22.2","22.2","15.6","13.3","13.3","6.7","2.2","2.2",".",".",".",".",".",".",".","2.2"
"Electronic Circuits II","342
001","61","2.817","11.5","21.3","21.3","14.8","26.2","3.3",".",".",".",".",".",".",".",".","1.6","."
"Semiconductr Physics&Device","345
001","16","3.344","50.0","12.5","6.3","18.8","12.5",".",".",".",".",".",".",".",".",".",".","."
"","350
001","22","3.432","27.3","40.9","22.7","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","350
002","23","3.522","30.4","47.8","17.4","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","350
003","21","3.643","33.3","61.9","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professional Expression","Course Total","66","3.530","30.3","50.0","15.2","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","351
001","8","3.625","62.5","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","351
002","8","3.063","25.0","12.5","25.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".","."
"","003
351","16","3.625","43.8","43.8","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","351
004","14","3.643","57.1","21.4","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","351
005","12","3.458","41.7","16.7","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","351
007","8","3.625","62.5","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Logic Laboratory","Course Total","66","3.530","48.5","22.7","16.7","10.6","1.5",".",".",".",".",".",".",".",".",".",".","."
"","352
001","10","2.700","10.0","10.0","50.0","10.0","10.0",".","10.0",".",".",".",".",".",".",".",".","."
"","002
352","31","2.984","19.4","16.1","29.0","19.4","12.9","3.2",".",".",".",".",".",".",".",".",".","."
"Digital System Fundamentals","Course Total","41","2.915","17.1","14.6","34.1","17.1","12.2","2.4","2.4",".",".",".",".",".",".",".",".","."
"Intro to Microprocessor Sys","353
001","27","2.907","22.2","22.2","14.8","18.5","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","354
001","30","3.183","40.0","16.7","13.3","13.3","10.0","6.7",".",".",".",".",".",".",".",".",".","."
"","355
001","29","2.845","13.8","17.2","27.6","13.8","24.1","3.4",".",".",".",".",".",".",".",".",".","."
"","355
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","355
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Electromech Energy Conversn","Course Total","33","2.781","12.1","15.2","27.3","15.2","21.2","6.1",".",".",".",".",".",".",".",".","3.0","."
"","370
001","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
002","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
003","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
004","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Laboratory","Course Total","39","3.936","87.2","12.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","376
001","61","3.074","21.3","18.0","31.1","16.4","11.5","1.6",".",".",".",".",".",".",".",".",".","."
"","376
002","66","3.053","16.7","22.7","31.8","12.1","16.7",".",".",".",".",".",".",".",".",".",".","."
"Electricl&Electronc Circuit","Course Total","127","3.063","18.9","20.5","31.5","14.2","14.2","0.8",".",".",".",".",".",".",".",".",".","."
"Elec&Elec-mech Power Conver","377
001","86","2.738","17.4","14.0","16.3","19.8","24.4","8.1",".",".",".",".",".",".",".",".",".","."
"Topics-Elect&Computer Engr","379
001","12","3.625","25.0","75.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
045","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
060","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","10","3.556","70.0",".","20.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
