"THEATRE AND DRAMA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"Intro-Theatre & Dramatic Lit","120
001","343","3.604","54.2","27.1","11.7","2.3","2.9","0.3","0.9","0.6",".",".",".",".",".",".",".","."
"Voice Training","140
001","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
001","15","3.821","73.3","6.7","13.3",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","150
002","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
003","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
150","16","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
005","17","3.735","88.2","5.9",".",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"","150
006","21","3.925","85.7","4.8","4.8",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"","150
007","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
008","13","3.808","76.9","7.7","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
009","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
010","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Acting","Course Total","172","3.921","90.7","4.1","3.5",".",".",".","0.6","1.2",".",".",".",".",".",".",".","."
"","161
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
007","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
009","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Backstage Laboratory I","Course Total","23","3.783","69.6","21.7","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","162
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","162
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theatre Production Laboratory","Course Total","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fund-Stage Lighting Technology","166
001","17","3.441","47.1","29.4","5.9","11.8",".","5.9",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Stagecraft","170
001","8","3.250","25.0","25.0","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Voice Training","240
1","15","3.567","60.0","13.3","6.7","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","250
001","16","3.531","25.0","56.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
002","13","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Acting","Course Total","29","3.638","41.4","44.8","13.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"African Dance Performance","277
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Traditions in Dramatic Lit","324
001","71","2.761","7.0","11.3","33.8","25.4","21.1","1.4",".",".",".",".",".",".",".",".",".","."
"History: Stage Costume","327
001","18","3.194","38.9","16.7","22.2","11.1","5.6",".","5.6",".",".",".",".",".",".",".",".","."
"Lit in Transl-Henrik Ibsen","335
001","7","3.214","28.6","28.6","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals-Movemnt for Stage","342
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acting Realism","350
001","17","3.647","35.3","58.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Backstage Laboratory II","361
001","18","3.500","55.6","27.8","5.6",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"","362
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
004","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
006","15","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
