"SPANISH (SPANISH AND PORTU Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","","",""
"363
Spanish Amer Civilization","001","","29","3.622","51.7","20.7","24.1","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"414
Lit de la Edad Med Castellana","001","","16","3.531","62.5","18.8","12.5",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"429
Intro to Romance Languages","001","","36","3.586","50.0","16.7","27.8","2.8",".",".",".",".",".",".",".",".",".","2.8",".","."
"453
Lit-Twentieth Century","001","","25","3.405","40.0","16.0","24.0","12.0","4.0",".",".","4.0",".",".",".",".",".",".",".","."
"460","000A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"460","001","","23","3.721","60.9","21.7","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"460","002","","20","3.294","45.0","25.0","10.0","10.0","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"Literatura Hispanoamericana","Course Total","","44","3.510","52.3","22.7","15.9","4.5","2.3",".","2.3",".",".",".",".",".",".",".",".","."
"468","000A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"468","001","","30","2.929","26.7","20.0","6.7","20.0","16.7","10.0",".",".",".",".",".",".",".",".",".","."
"468","002","","24","3.527","41.7","37.5","12.5",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"468","003","","22","3.593","59.1","22.7","13.6",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"Topics in Hispanic Culture","Course Total","","77","3.305","40.3","27.3","10.4","7.8","9.1","3.9","1.3",".",".",".",".",".",".",".",".","."
"470","001","","7","3.214","57.1","14.3","14.3",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"470","002","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr:Hispanic Lit/Cultr/Ling","Course Total","","14","3.536","64.3","21.4","7.1",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"474
Study Abroad-Span Linguistics","000A","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"502
Surv-Sp Am Lit:Modrn-Presnt","001","","18","3.444","44.4","11.1","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"541
Old Spanish","001","","17","3.618","47.1","29.4","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"628
Hist-Teoria Lit: C XIX-XX","001","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"682
Senior Honors Thesis","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"716
Topics-Spanish American Lit","001","","9","3.750","55.6","22.2","11.1",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"718
Topics in Medieval Spanish Lit","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"801
Smr-Spanish American Lit","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"802
Smr-Spanish American Lit","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"831
Smr-Hispanic Dialectology","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"850
Seminar in Golden Age Drama","001","","11","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"899","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","5","***","","","","","","","","","","","","","","","",""
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 308 of 401",""
