"","775
002","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","775
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","775
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","22","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"PATH-BIO
703","Dept. Total","505","3.408","43.4","14.1","14.9","3.6","3.8","0.2",".","20.2",".",".",".",".",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"703
PATH-BIO","","","","","","","","","","","","","","","","","","",""
"Junior","","1","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior","","4","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","5","3.909","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate","","4","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Prof Yr 1","","5","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Prof Yr 2","","354","3.300","37.9","15.0","20.6","5.1","5.4","0.3",".","15.8",".",".",".",".",".",".",".","."
"Prof Yr 3","","82","3.869","74.4","20.7","2.4",".",".",".",".","2.4",".",".",".",".",".",".",".","."
"Prof Yr 4","","55","4.000","36.4",".",".",".",".",".",".","63.6",".",".",".",".",".",".",".","."
"Professionals","","496","3.403","43.3","14.1","15.1","3.6","3.8","0.2",".","19.8",".",".",".",".",".",".",".","."
"","Dept. Total","505","3.408","43.4","14.1","14.9","3.6","3.8","0.2",".","20.2",".",".",".",".",".",".",".","."
