"PHYSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","",""
"","103
001","171","3.042","21.1","18.7","25.7","18.7","12.3","0.6","1.2","0.6",".",".",".",".",".",".","1.2","."
"","103
002","162","3.117","22.2","24.1","24.7","16.7","11.1","0.6","0.6",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","333","3.079","21.6","21.3","25.2","17.7","11.7","0.6","0.9","0.3",".",".",".",".",".",".","0.6","."
"","104
001","245","2.973","23.3","17.6","20.8","14.7","20.0","3.7",".",".",".",".",".",".",".",".",".","."
"","104
002","203","2.778","17.2","13.8","17.2","24.6","22.7","2.0","2.5",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","448","2.885","20.5","15.8","19.2","19.2","21.2","2.9","1.1",".",".",".",".",".",".",".",".","."
"Ideas of Modern Physics","107
001","79","3.318","27.8","20.3","36.7","11.4","1.3",".",".","1.3",".",".",".",".",".","1.3",".","."
"","109
001","113","2.866","12.4","16.8","26.5","23.9","16.8","2.7",".","0.9",".",".",".",".",".",".",".","."
"","109
002","118","2.784","16.1","13.6","26.3","21.2","14.4","5.9","2.5",".",".",".",".",".",".",".",".","."
"Physics in the Arts","Course Total","231","2.824","14.3","15.2","26.4","22.5","15.6","4.3","1.3","0.4",".",".",".",".",".",".",".","."
"Directed Study","198
036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"General Physics","201
001","194","3.229","13.9","40.7","31.4","10.3","1.0","2.6",".",".",".",".",".",".",".",".",".","."
"","202
001","135","2.878","15.6","12.6","31.1","13.3","27.4",".",".",".",".",".",".",".",".",".",".","."
"","202
002","140","2.686","17.1","7.9","22.1","13.6","35.7","0.7","2.9",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","275","2.780","16.4","10.2","26.5","13.5","31.6","0.4","1.5",".",".",".",".",".",".",".",".","."
"General Physics","207
001","176","3.125","21.0","13.1","43.8","15.3","6.3","0.6",".",".",".",".",".",".",".",".",".","."
"General Physics","208
001","214","2.813","22.9","10.3","22.9","8.4","30.4","3.3","1.9",".",".",".",".",".",".",".",".","."
"Intro to Modern Physics","241
001","37","2.851","16.2","16.2","18.9","18.9","29.7",".",".",".",".",".",".",".",".",".",".","."
"Modern Physics","244
001","74","2.885","16.2","18.9","20.3","20.3","21.6","2.7",".",".",".",".",".",".",".",".",".","."
"A Modern Intro to Physics","248
001","37","3.554","54.1","16.2","21.6","2.7","5.4",".",".",".",".",".",".",".",".",".",".","."
"Intro-Medical Physics","265
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","299
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Physics Today","301
001","29","3.810","72.4","17.2","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","308
001","14","3.821","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","308
002","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","308
003","7","3.643","57.1","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","308
004","10","3.650","60.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","005
308","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Lab-Electromag","Course Total","51","3.775","70.6","17.6","7.8","3.9",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics","311
001","38","3.554","47.4","28.9","18.4",".",".",".","2.6","2.6",".",".",".",".",".",".",".","."
"Electromagnetic Fields","322
001","48","3.065","25.0","29.2","16.7","8.3","8.3","4.2","4.2",".",".",".",".",".",".","4.2",".","."
"Wave Motion and Optics","325
001","23","3.152","13.0","39.1","30.4","8.7","4.3","4.3",".",".",".",".",".",".",".",".",".","."
"Acoustics for Musicians","371
001","20","3.425","30.0","30.0","35.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Physics","406
001","8","3.222","50.0","12.5","12.5",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"Advanced Laboratory","407
001","13","3.550","84.6","7.7",".",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"Thermal Physics","415
001","51","3.324","37.3","11.8","41.2","5.9","2.0",".","2.0",".",".",".",".",".",".",".",".","."
"Atomic and Quantum Physics","449
001","46","3.011","23.9","17.4","28.3","15.2","8.7","4.3","2.2",".",".",".",".",".",".",".",".","."
"Sci Bckgrnd-Globl Envr Prob","472
001","11","3.300","27.3","18.2","27.3","18.2",".",".",".",".",".",".",".",".","9.1",".",".","."
"Directed Study","498
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
