"LIBRARY & INFORMATION STUD Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","","","","",""
"Course Total
Independent Reading & Rsch","22","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"L I S
Dept. Total
544","601","3.828","73.7","17.8","4.7","1.2","0.5","0.2","",".","1.7","",".",".","",".","",".","",".",".","0.3","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","14","3.179","35.7","14.3","28.6","7.1","7.1","7.1","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","40","3.588","52.5","25.0","12.5","7.5","2.5",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","54","3.481","48.1","22.2","16.7","7.4","3.7","1.9","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","33","3.726","60.6","21.2","9.1",".","3.0",".","",".","3.0","",".",".","",".","",".","",".",".","3.0","."
"Graduate","514","3.872","77.2","17.1","3.1","0.6",".",".","",".","1.8","",".",".","",".","",".","",".",".","0.2","."
"Dept. Total","601","3.828","73.7","17.8","4.7","1.2","0.5","0.2","",".","1.7","",".",".","",".","",".","",".",".","0.3","."
