"LAW","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","",""
"990","036","","6","2.286","33.3",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","16","4.000","43.8",".",".",".",".",".",".","50.0",".",".",".",".","6.3",".",".","."
"990","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","30","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","052","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","062","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","071","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","072","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","073","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","084","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","086","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Research","Course Total","","129","3.000","15.5",".",".",".",".",".",".","81.4",".",".",".",".","0.8",".",".","."
"991","009","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"991","014","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"991","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","044","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"991","065","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","084","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","091","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","092","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Reading","Course Total","","33","4.000","30.3",".",".",".",".",".",".","69.7",".",".",".",".",".",".",".","."
