"LANDSCAPE ARCHITECTURE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"520
LAND ARC","","","","","","","","","","","","","","","","","","","",""
"260
History of Landscape Arch","001","","73","2.718","12.3","8.2","21.9","24.7","28.8","1.4",".","2.7",".",".",".",".",".",".",".","."
"262
Landscape Invntry&Eval Meth","001","","33","2.909","33.3","12.1","24.2","6.1","12.1","3.0","9.1",".",".",".",".",".",".",".",".","."
"270
Land Arc Workshop","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299
Independent Studies","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"312","001","","15","3.071","13.3","40.0","26.7",".","6.7",".","6.7",".",".",".",".",".","6.7",".",".","."
"312","002","","19","3.368","15.8","52.6","26.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Graphics for Designers","Course Total","","34","3.242","14.7","47.1","26.5",".","5.9",".","2.9",".",".",".",".",".","2.9",".",".","."
"351
Housing and Urban Design","001","","19","3.342","31.6","26.3","36.8",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"353
Landscape Arch Technology I","001","","27","3.352","18.5","51.9","18.5","3.7","7.4",".",".",".",".",".",".",".",".",".",".","."
"356
Sustainabl Residntl Constructn","001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"361
Wetlands Ecology","001","","10","2.889","20.0","20.0","10.0","20.0","10.0","10.0",".","10.0",".",".",".",".",".",".",".","."
"375","001","","11","3.393","27.3","45.5","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"375","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","16","3.500","37.5","43.8","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"399","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","2","***","","","","","","","","","","","","","","","",""
"451
Open Space Planning&Design","001","","19","3.132","31.6","31.6","10.5","5.3","15.8",".","5.3",".",".",".",".",".",".",".",".","."
"551
Senior Project in Land Arc","001","","20","3.053","15.0","20.0","50.0",".","5.0",".","5.0",".",".",".",".",".","5.0",".",".","."
"556
Remote Sensing Digitl Image","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"651
Plant Commun Restoratn&Mgmt","001","","18","3.676","44.4","38.9","11.1",".",".",".",".",".",".",".",".",".",".","5.6",".","."
"695
Applictn of GIS:Natrl Rsrcs","001","","26","3.340","23.1","50.0","15.4",".",".","7.7",".","3.8",".",".",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems-Land Arch","Course Total","","4","***","","","","","","","","","","","","","","","",""
"777
Methds-Hist/Cult Rsrce Pres","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"999","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Studies","Course Total","","4","***","","","","","","","","","","","","","","","",""
